Round,Node,Starting Inventory,Demand,Supply,Ending Inventory,Backlog Cost,Holding Cost,Comment
0,retailer,0,0,0,0,0,0,
0,wholesaler,0,0,0,0,0,0,
0,distributor,0,0,0,0,0,0,
0,manufacturer,4,0,0,4,0,0,
1,retailer,0,4,0,-4,0.0,0.0,
1,wholesaler,0,0,0,0,0.0,0.0,
1,distributor,0,0,0,0,0.0,0.0,
1,manufacturer,4,0,0,4,0.0,2.0,[Manufacturer] PID heuristic | demand_avg=0.0 error=12.0 integral=12.0 derivative=0.0 | demand_anchor=1.0 inventory=4 backlog=0 inbound=0.0
2,retailer,-4,4,0,-8,20.0,0.0,
2,wholesaler,0,0,0,0,0.0,0.0,
2,distributor,0,0,0,0,0.0,0.0,
2,manufacturer,4,0,0,4,0.0,2.0,[Manufacturer] PID heuristic | demand_avg=0.0 error=12.0 integral=12.0 derivative=0.0 | demand_anchor=1.0 inventory=4 backlog=0 inbound=0.0
3,retailer,-8,4,0,-12,40.0,0.0,
3,wholesaler,0,0,0,0,0.0,0.0,
3,distributor,0,0,0,0,0.0,0.0,
3,manufacturer,4,0,6,10,0.0,2.0,[Manufacturer] PID heuristic | demand_avg=0.0 error=12.0 integral=12.0 derivative=0.0 | demand_anchor=1.0 inventory=4 backlog=0 inbound=0.0
4,retailer,-12,4,0,-16,60.0,0.0,
4,wholesaler,0,0,0,0,0.0,0.0,
4,distributor,0,0,0,0,0.0,0.0,
4,manufacturer,10,0,6,16,0.0,5.0,[Manufacturer] PID heuristic | demand_avg=0.0 error=12.0 integral=12.0 derivative=0.0 | demand_anchor=1.0 inventory=4 backlog=0 inbound=0.0
5,retailer,-16,4,0,-20,80.0,0.0,
5,wholesaler,0,0,0,0,0.0,0.0,
5,distributor,0,0,0,0,0.0,0.0,
5,manufacturer,16,0,6,22,0.0,8.0,[Manufacturer] PID heuristic | demand_avg=0.0 error=12.0 integral=12.0 derivative=0.0 | demand_anchor=1.0 inventory=4 backlog=0 inbound=0.0
6,retailer,-20,4,0,-24,100.0,0.0,
6,wholesaler,0,0,0,0,0.0,0.0,
6,distributor,0,0,0,0,0.0,0.0,
6,manufacturer,22,0,6,28,0.0,11.0,[Manufacturer] PID heuristic | demand_avg=0.0 error=12.0 integral=12.0 derivative=0.0 | demand_anchor=1.0 inventory=4 backlog=0 inbound=0.0
7,retailer,-24,4,0,-28,120.0,0.0,
7,wholesaler,0,0,0,0,0.0,0.0,
7,distributor,0,0,0,0,0.0,0.0,
7,manufacturer,28,0,6,34,0.0,14.0,[Manufacturer] PID heuristic | demand_avg=0.0 error=12.0 integral=12.0 derivative=0.0 | demand_anchor=1.0 inventory=4 backlog=0 inbound=0.0
8,retailer,-28,4,0,-32,140.0,0.0,
8,wholesaler,0,0,0,0,0.0,0.0,
8,distributor,0,0,0,0,0.0,0.0,
8,manufacturer,34,0,6,40,0.0,17.0,[Manufacturer] PID heuristic | demand_avg=0.0 error=12.0 integral=12.0 derivative=0.0 | demand_anchor=1.0 inventory=4 backlog=0 inbound=0.0
9,retailer,-32,4,0,-36,160.0,0.0,
9,wholesaler,0,0,0,0,0.0,0.0,
9,distributor,0,0,0,0,0.0,0.0,
9,manufacturer,40,0,6,46,0.0,20.0,[Manufacturer] PID heuristic | demand_avg=0.0 error=12.0 integral=12.0 derivative=0.0 | demand_anchor=1.0 inventory=4 backlog=0 inbound=0.0
10,retailer,-36,4,0,-40,180.0,0.0,
10,wholesaler,0,0,0,0,0.0,0.0,
10,distributor,0,0,0,0,0.0,0.0,
