Round,Node,Starting Inventory,Demand,Supply,Ending Inventory,Backlog Cost,Holding Cost
0,retailer,5,0,0,5,0,0
0,wholesaler,5,0,0,5,0,0
0,distributor,5,0,0,5,0,0
0,manufacturer,5,0,0,5,0,0
1,retailer,5,4,0,1,0.0,2.5
1,wholesaler,5,4,0,1,0.0,2.5
1,distributor,5,4,0,1,0.0,2.5
1,manufacturer,5,4,0,1,0.0,2.5
2,retailer,1,4,4,1,0.0,0.5
2,wholesaler,1,4,4,1,0.0,0.5
2,distributor,1,4,4,1,0.0,0.5
2,manufacturer,1,4,4,1,0.0,0.5
3,retailer,1,4,4,1,0.0,0.5
3,wholesaler,1,4,4,1,0.0,0.5
3,distributor,1,4,4,1,0.0,0.5
3,manufacturer,1,4,4,1,0.0,0.5
4,retailer,1,4,4,1,0.0,0.5
4,wholesaler,1,4,4,1,0.0,0.5
4,distributor,1,4,4,1,0.0,0.5
4,manufacturer,1,4,4,1,0.0,0.5
5,retailer,1,4,4,1,0.0,0.5
5,wholesaler,1,4,4,1,0.0,0.5
5,distributor,1,4,4,1,0.0,0.5
5,manufacturer,1,4,4,1,0.0,0.5
6,retailer,1,4,4,1,0.0,0.5
6,wholesaler,1,4,4,1,0.0,0.5
6,distributor,1,4,4,1,0.0,0.5
6,manufacturer,1,4,4,1,0.0,0.5
7,retailer,1,4,4,1,0.0,0.5
7,wholesaler,1,4,4,1,0.0,0.5
7,distributor,1,4,4,1,0.0,0.5
7,manufacturer,1,4,4,1,0.0,0.5
8,retailer,1,4,4,1,0.0,0.5
8,wholesaler,1,4,4,1,0.0,0.5
8,distributor,1,4,4,1,0.0,0.5
8,manufacturer,1,4,4,1,0.0,0.5
9,retailer,1,4,4,1,0.0,0.5
9,wholesaler,1,4,4,1,0.0,0.5
9,distributor,1,4,4,1,0.0,0.5
9,manufacturer,1,4,4,1,0.0,0.5
10,retailer,1,4,4,1,0.0,0.5
10,wholesaler,1,4,4,1,0.0,0.5
10,distributor,1,4,4,1,0.0,0.5
10,manufacturer,1,4,4,1,0.0,0.5
11,retailer,1,4,4,1,0.0,0.5
11,wholesaler,1,4,4,1,0.0,0.5
11,distributor,1,4,4,1,0.0,0.5
11,manufacturer,1,4,4,1,0.0,0.5
12,retailer,1,4,4,1,0.0,0.5
12,wholesaler,1,4,4,1,0.0,0.5
12,distributor,1,4,4,1,0.0,0.5
12,manufacturer,1,4,4,1,0.0,0.5
13,retailer,1,4,4,1,0.0,0.5
13,wholesaler,1,4,4,1,0.0,0.5
13,distributor,1,4,4,1,0.0,0.5
13,manufacturer,1,4,4,1,0.0,0.5
14,retailer,1,4,4,1,0.0,0.5
14,wholesaler,1,4,4,1,0.0,0.5
14,distributor,1,4,4,1,0.0,0.5
14,manufacturer,1,4,4,1,0.0,0.5
15,retailer,1,12,4,-7,0.0,0.5
15,wholesaler,1,12,4,-7,0.0,0.5
15,distributor,1,4,4,1,0.0,0.5
15,manufacturer,1,4,4,1,0.0,0.5
16,retailer,-7,12,12,-7,35.0,0.0
16,wholesaler,-7,12,4,-15,35.0,0.0
16,distributor,1,4,4,1,0.0,0.5
16,manufacturer,1,4,4,1,0.0,0.5
17,retailer,-7,12,12,-7,35.0,0.0
17,wholesaler,-15,12,4,-23,75.0,0.0
17,distributor,1,4,4,1,0.0,0.5
17,manufacturer,1,4,4,1,0.0,0.5
18,retailer,-7,12,12,-7,35.0,0.0
18,wholesaler,-23,12,4,-31,115.0,0.0
18,distributor,1,4,4,1,0.0,0.5
18,manufacturer,1,4,4,1,0.0,0.5
19,retailer,-7,12,12,-7,35.0,0.0
19,wholesaler,-31,12,4,-39,155.0,0.0
19,distributor,1,4,4,1,0.0,0.5
19,manufacturer,1,4,4,1,0.0,0.5
20,retailer,-7,12,12,-7,35.0,0.0
20,wholesaler,-39,12,4,-47,195.0,0.0
20,distributor,1,4,4,1,0.0,0.5
20,manufacturer,1,4,4,1,0.0,0.5
21,retailer,-7,12,12,-7,35.0,0.0
21,wholesaler,-47,12,4,-55,235.0,0.0
21,distributor,1,4,4,1,0.0,0.5
21,manufacturer,1,4,4,1,0.0,0.5
22,retailer,-7,12,12,-7,35.0,0.0
22,wholesaler,-55,12,4,-63,275.0,0.0
22,distributor,1,4,4,1,0.0,0.5
22,manufacturer,1,4,4,1,0.0,0.5
23,retailer,-7,12,12,-7,35.0,0.0
23,wholesaler,-63,12,4,-71,315.0,0.0
23,distributor,1,4,4,1,0.0,0.5
23,manufacturer,1,4,4,1,0.0,0.5
24,retailer,-7,12,12,-7,35.0,0.0
24,wholesaler,-71,12,4,-79,355.0,0.0
24,distributor,1,4,4,1,0.0,0.5
24,manufacturer,1,4,4,1,0.0,0.5
25,retailer,-7,12,12,-7,35.0,0.0
25,wholesaler,-79,12,4,-87,395.0,0.0
25,distributor,1,4,4,1,0.0,0.5
25,manufacturer,1,4,4,1,0.0,0.5
26,retailer,-7,12,12,-7,35.0,0.0
26,wholesaler,-87,12,4,-95,435.0,0.0
26,distributor,1,4,4,1,0.0,0.5
26,manufacturer,1,4,4,1,0.0,0.5
27,retailer,-7,12,12,-7,35.0,0.0
27,wholesaler,-95,12,4,-103,475.0,0.0
27,distributor,1,4,4,1,0.0,0.5
27,manufacturer,1,4,4,1,0.0,0.5
28,retailer,-7,12,12,-7,35.0,0.0
28,wholesaler,-103,12,4,-111,515.0,0.0
28,distributor,1,4,4,1,0.0,0.5
28,manufacturer,1,4,4,1,0.0,0.5
29,retailer,-7,12,12,-7,35.0,0.0
29,wholesaler,-111,12,4,-119,555.0,0.0
29,distributor,1,4,4,1,0.0,0.5
29,manufacturer,1,4,4,1,0.0,0.5
30,retailer,-7,12,12,-7,35.0,0.0
30,wholesaler,-119,12,4,-127,595.0,0.0
30,distributor,1,4,4,1,0.0,0.5
30,manufacturer,1,4,4,1,0.0,0.5
31,retailer,-7,12,12,-7,35.0,0.0
31,wholesaler,-127,12,4,-135,635.0,0.0
31,distributor,1,4,4,1,0.0,0.5
31,manufacturer,1,4,4,1,0.0,0.5
32,retailer,-7,12,12,-7,35.0,0.0
32,wholesaler,-135,12,4,-143,675.0,0.0
32,distributor,1,4,4,1,0.0,0.5
32,manufacturer,1,4,4,1,0.0,0.5
33,retailer,-7,12,12,-7,35.0,0.0
33,wholesaler,-143,12,4,-151,715.0,0.0
33,distributor,1,4,4,1,0.0,0.5
33,manufacturer,1,4,4,1,0.0,0.5
34,retailer,-7,12,12,-7,35.0,0.0
34,wholesaler,-151,12,4,-159,755.0,0.0
34,distributor,1,4,4,1,0.0,0.5
34,manufacturer,1,4,4,1,0.0,0.5
35,retailer,-7,12,12,-7,35.0,0.0
35,wholesaler,-159,12,4,-167,795.0,0.0
35,distributor,1,4,4,1,0.0,0.5
35,manufacturer,1,4,4,1,0.0,0.5
36,retailer,-7,12,12,-7,35.0,0.0
36,wholesaler,-167,12,4,-175,835.0,0.0
36,distributor,1,4,4,1,0.0,0.5
36,manufacturer,1,4,4,1,0.0,0.5
37,retailer,-7,12,12,-7,35.0,0.0
37,wholesaler,-175,12,4,-183,875.0,0.0
37,distributor,1,4,4,1,0.0,0.5
37,manufacturer,1,4,4,1,0.0,0.5
38,retailer,-7,12,12,-7,35.0,0.0
38,wholesaler,-183,12,4,-191,915.0,0.0
38,distributor,1,4,4,1,0.0,0.5
38,manufacturer,1,4,4,1,0.0,0.5
39,retailer,-7,12,12,-7,35.0,0.0
39,wholesaler,-191,12,4,-199,955.0,0.0
39,distributor,1,4,4,1,0.0,0.5
39,manufacturer,1,4,4,1,0.0,0.5
40,retailer,-7,12,12,-7,35.0,0.0
40,wholesaler,-199,12,4,-207,995.0,0.0
40,distributor,1,4,4,1,0.0,0.5
40,manufacturer,1,4,4,1,0.0,0.5
