Round,Node,Starting Inventory,Demand,Supply,Ending Inventory,Backlog Cost,Holding Cost
0,retailer,0,0,0,0,0,0
0,wholesaler,0,0,0,0,0,0
0,distributor,0,0,0,0,0,0
0,manufacturer,0,0,0,0,0,0
1,retailer,0,4,0,-4,0.0,0.0
1,wholesaler,0,4,0,-4,0.0,0.0
1,distributor,0,0,0,0,0.0,0.0
1,manufacturer,0,0,0,0,0.0,0.0
2,retailer,-4,4,4,-4,20.0,0.0
2,wholesaler,-4,4,0,-8,20.0,0.0
2,distributor,0,0,0,0,0.0,0.0
2,manufacturer,0,0,0,0,0.0,0.0
3,retailer,-4,4,4,-4,20.0,0.0
3,wholesaler,-8,4,0,-12,40.0,0.0
3,distributor,0,0,0,0,0.0,0.0
3,manufacturer,0,0,0,0,0.0,0.0
4,retailer,-4,4,4,-4,20.0,0.0
4,wholesaler,-12,4,0,-16,60.0,0.0
4,distributor,0,0,0,0,0.0,0.0
4,manufacturer,0,0,0,0,0.0,0.0
5,retailer,-4,4,4,-4,20.0,0.0
5,wholesaler,-16,4,0,-20,80.0,0.0
5,distributor,0,0,0,0,0.0,0.0
5,manufacturer,0,0,0,0,0.0,0.0
6,retailer,-4,4,4,-4,20.0,0.0
6,wholesaler,-20,4,0,-24,100.0,0.0
6,distributor,0,0,0,0,0.0,0.0
6,manufacturer,0,0,0,0,0.0,0.0
7,retailer,-4,4,4,-4,20.0,0.0
7,wholesaler,-24,4,0,-28,120.0,0.0
7,distributor,0,0,0,0,0.0,0.0
7,manufacturer,0,0,0,0,0.0,0.0
8,retailer,-4,4,4,-4,20.0,0.0
8,wholesaler,-28,4,0,-32,140.0,0.0
8,distributor,0,0,0,0,0.0,0.0
8,manufacturer,0,0,0,0,0.0,0.0
9,retailer,-4,4,4,-4,20.0,0.0
9,wholesaler,-32,4,0,-36,160.0,0.0
9,distributor,0,0,0,0,0.0,0.0
9,manufacturer,0,0,0,0,0.0,0.0
10,retailer,-4,4,4,-4,20.0,0.0
10,wholesaler,-36,4,0,-40,180.0,0.0
10,distributor,0,0,0,0,0.0,0.0
10,manufacturer,0,0,0,0,0.0,0.0
11,retailer,-4,4,4,-4,20.0,0.0
11,wholesaler,-40,4,0,-44,200.0,0.0
11,distributor,0,0,0,0,0.0,0.0
11,manufacturer,0,0,0,0,0.0,0.0
12,retailer,-4,4,4,-4,20.0,0.0
12,wholesaler,-44,4,0,-48,220.0,0.0
12,distributor,0,0,0,0,0.0,0.0
12,manufacturer,0,0,0,0,0.0,0.0
13,retailer,-4,4,4,-4,20.0,0.0
13,wholesaler,-48,4,0,-52,240.0,0.0
13,distributor,0,0,0,0,0.0,0.0
13,manufacturer,0,0,0,0,0.0,0.0
14,retailer,-4,4,4,-4,20.0,0.0
14,wholesaler,-52,4,0,-56,260.0,0.0
14,distributor,0,0,0,0,0.0,0.0
14,manufacturer,0,0,0,0,0.0,0.0
15,retailer,-4,4,4,-4,20.0,0.0
15,wholesaler,-56,4,0,-60,280.0,0.0
15,distributor,0,0,0,0,0.0,0.0
15,manufacturer,0,0,0,0,0.0,0.0
16,retailer,-4,4,4,-4,20.0,0.0
16,wholesaler,-60,4,0,-64,300.0,0.0
16,distributor,0,0,0,0,0.0,0.0
16,manufacturer,0,0,0,0,0.0,0.0
17,retailer,-4,4,4,-4,20.0,0.0
17,wholesaler,-64,4,0,-68,320.0,0.0
17,distributor,0,0,0,0,0.0,0.0
17,manufacturer,0,0,0,0,0.0,0.0
18,retailer,-4,4,4,-4,20.0,0.0
18,wholesaler,-68,4,0,-72,340.0,0.0
