EBELN,BUKRS,BSTYP,BSART,LIFNR,EKORG,EKGRP,BEDAT,AEDAT,WAERS
5600001716,1710,L,LPA,0017300001,1710,001,20171005,20171005,USD
5600001710,1710,L,LP,0017300001,1710,001,20171005,20171005,USD
5600001711,1710,L,LPA,0017300001,1710,001,20171005,20171005,USD
5600001715,1710,L,LPA,0017300002,1710,001,20171005,20171005,USD
4500000001,1710,F,NB,USSU-VSF04,1710,002,20171008,20171008,USD
4500000002,1710,F,NB,USSU-VSF02,1710,002,20171008,20171008,USD
4500000003,1710,F,NB,USSU-VSF01,1710,002,20171008,20171008,USD
4500000004,1710,F,NB,USSU-VSF05,1710,002,20171008,20171008,USD
4500000005,1710,F,NB,USSU-VSF06,1710,002,20171008,20171008,USD
4500000006,1710,F,NB,USSU-VSF07,1710,002,20171008,20171008,USD
4500000007,1710,F,NB,USSU-VSF08,1710,002,20171008,20171008,USD
4500000008,1710,F,NB,USSU-VSF08,1710,002,20171008,20171008,USD
4500000009,1710,F,NB,USSU-VSF06,1710,002,20171008,20171008,USD
4500000010,1710,F,NB,USSU-VSF01,1710,002,20171008,20171008,USD
4500000011,1710,F,NB,USSU-VSF01,1710,002,20171008,20171008,USD
4500000012,1710,F,NB,USSU-VSF01,1710,002,20171008,20171008,USD
4500000013,1710,F,NB,USSU-VSF04,1710,002,20171008,20171008,USD
4500000014,1710,F,NB,USSU-VSF02,1710,002,20171008,20171008,USD
4500000015,1710,F,NB,USSU-VSF01,1710,002,20171008,20171008,USD
4500000016,1710,F,NB,USSU-VSF05,1710,002,20171008,20171008,USD
4500000017,1710,F,NB,USSU-VSF06,1710,002,20171008,20171008,USD
4500000018,1710,F,NB,USSU-VSF07,1710,002,20171008,20171008,USD
4500000019,1710,F,NB,USSU-VSF08,1710,002,20171008,20171008,USD
4500000020,1710,F,NB,USSU-VSF08,1710,002,20171008,20171008,USD
4500000021,1710,F,NB,USSU-VSF06,1710,002,20171008,20171008,USD
4500000022,1710,F,NB,USSU-VSF01,1710,002,20171008,20171008,USD
4500000023,1710,F,NB,USSU-VSF01,1710,002,20171008,20171008,USD
4500000024,1710,F,NB,USSU-VSF01,1710,002,20171008,20171008,USD
4500000025,1710,F,NB,0017300002,1710,003,20171009,20171009,USD
4500000026,1710,F,NB,0017300002,1710,003,20171009,20171009,USD
4500000027,1710,F,NB,0017300006,1710,002,20171010,20171010,USD
8000000000,1710,O,RQ,0017300001,1710,001,00000000,20171010,EUR
8000000001,1710,O,RQ,0017300002,1710,001,00000000,20171010,EUR
4500000028,1710,F,NB,0017300002,1710,001,20171010,20171010,EUR
4500000029,1710,F,ENB,0017300001,1710,001,20171016,20171016,USD
4500000339,1710,F,NB,EWM17-SU01,1710,002,20190314,20190314,USD
4500000031,1710,F,NB,0017300002,1710,001,20171016,20171016,USD
4500000032,1710,F,NB,0017300007,1710,001,20171016,20171016,USD
4500000040,1710,F,NB,0017300006,1710,002,20171017,20171017,USD
4500000034,1710,F,NB,0017300002,1710,001,20171017,20171017,USD
4500000035,1710,F,NB,0017300001,1710,001,20171017,20171017,USD
4500000563,1710,F,NB,EWM17-SU01,1710,001,20191031,20191031,USD
4500000037,1710,F,NB,0017300001,1710,001,20171017,20171017,USD
4500000038,1710,F,NB,0017300001,1710,002,20171017,20171017,USD
4500000543,1710,F,NB,0017300001,1710,002,20191022,20191022,USD
4500000041,1710,F,NB,0017300001,1710,001,20171017,20171017,USD
5600001016,1010,L,LPA,0010300001,1010,001,20171017,20171017,EUR
4500000139,1710,F,NB,0017300001,1710,001,20180316,20180316,USD
5600001010,1010,L,LP,0010300001,1010,001,20171017,20171017,EUR
5600001011,1010,L,LPA,0010300001,1010,001,20171017,20171017,EUR
4600000022,1710,K,CMK,0017300001,1710,001,20201117,20201117,USD
4500000042,1710,F,NB,USSU-VSF04,1710,002,20171018,20171018,USD
4500000043,1710,F,NB,USSU-VSF02,1710,002,20171018,20171018,USD
4500000044,1710,F,NB,USSU-VSF01,1710,002,20171018,20171018,USD
4500000045,1710,F,NB,USSU-VSF05,1710,002,20171018,20171018,USD
4500000046,1710,F,NB,USSU-VSF06,1710,002,20171018,20171018,USD
4500000047,1710,F,NB,USSU-VSF07,1710,002,20171018,20171018,USD
4500000048,1710,F,NB,USSU-VSF08,1710,002,20171018,20171018,USD
4500000049,1710,F,NB,USSU-VSF08,1710,002,20171018,20171018,USD
4500000050,1710,F,NB,USSU-VSF06,1710,002,20171018,20171018,USD
4500000051,1710,F,NB,USSU-VSF01,1710,002,20171018,20171018,USD
4500000052,1710,F,NB,USSU-VSF01,1710,002,20171018,20171018,USD
4500000053,1710,F,NB,USSU-VSF01,1710,002,20171018,20171018,USD
4500000054,1710,F,NB,0017300001,1710,002,20171019,20171019,USD
4500000055,1710,F,NB,0017300001,1710,003,20171019,20171019,USD
4600000002,1710,K,WK,EWM17-SU01,1710,001,20171019,20171019,USD
4600000003,1710,K,WK,USSU-VSF01,1710,Z90,20171019,20171019,USD
4500000056,1710,F,NB,EWM17-SU01,1710,002,20171020,20171020,USD
4500000057,1710,F,NB,EWM17-SU01,1710,002,20171020,20171020,USD
4500000058,1710,F,NB,EWM17-SU01,1710,002,20171020,20171020,USD
4500000059,1710,F,NB,EWM17-SU01,1710,002,20171020,20171020,USD
4500000060,1710,F,NB,EWM17-SU01,1710,002,20171020,20171020,USD
4500000381,1710,F,NB,USSU-VSF04,1710,002,20190927,20190927,USD
4500000382,1710,F,NB,USSU-VSF02,1710,002,20190927,20190927,USD
4500000383,1710,F,NB,USSU-VSF04,1710,002,20190927,20190927,USD
4500000384,1710,F,NB,USSU-VSF04,1710,002,20190929,20190929,USD
4500000385,1710,F,NB,USSU-VSF02,1710,002,20190929,20190929,USD
4500000386,1710,F,NB,USSU-VSF04,1710,002,20190929,20190929,USD
4500000387,1710,F,NB,USSU-VSF02,1710,002,20190929,20190929,USD
4500000388,1710,F,NB,USSU-VSF01,1710,002,20190929,20190929,USD
4500000389,1710,F,NB,USSU-VSF01,1710,002,20190929,20190929,USD
4500000390,1710,F,NB,USSU-VSF01,1710,002,20190929,20190929,USD
4500000391,1710,F,NB,USSU-VSF01,1710,002,20190929,20190929,USD
4500000392,1710,F,NB,USSU-VSF05,1710,002,20190929,20190929,USD
4500000393,1710,F,NB,USSU-VSF06,1710,002,20190929,20190929,USD
4500000394,1710,F,NB,USSU-VSF07,1710,002,20190929,20190929,USD
4500000395,1710,F,NB,USSU-VSF08,1710,002,20190929,20190929,USD
4500000396,1710,F,NB,USSU-VSF08,1710,002,20190929,20190929,USD
4500000397,1710,F,NB,USSU-VSF06,1710,002,20190929,20190929,USD
4500000398,1710,F,NB,USSU-VSF04,1710,002,20190929,20190929,USD
4500000399,1710,F,NB,USSU-VSF02,1710,002,20190929,20190929,USD
4500000400,1710,F,NB,USSU-VSF01,1710,002,20190929,20190929,USD
4500000401,1710,F,NB,USSU-VSF01,1710,002,20190929,20190929,USD
4500000402,1710,F,NB,USSU-VSF01,1710,002,20190929,20190929,USD
4500000403,1710,F,NB,USSU-VSF01,1710,002,20190929,20190929,USD
4500000404,1710,F,NB,USSU-VSF05,1710,002,20190929,20190929,USD
4500000405,1710,F,NB,USSU-VSF06,1710,002,20190929,20190929,USD
4500000406,1710,F,NB,USSU-VSF07,1710,002,20190929,20190929,USD
4500000407,1710,F,NB,USSU-VSF08,1710,002,20190929,20190929,USD
4500000408,1710,F,NB,USSU-VSF08,1710,002,20190929,20190929,USD
4500000409,1710,F,NB,USSU-VSF06,1710,002,20190929,20190929,USD
4500000410,1710,F,NB,USSU-VSF04,1710,002,20190929,20190929,USD
4500000411,1710,F,NB,USSU-VSF02,1710,002,20190929,20190929,USD
4500000412,1710,F,NB,USSU-VSF01,1710,002,20190929,20190929,USD
4500000413,1710,F,NB,USSU-VSF01,1710,002,20190929,20190929,USD
4500000414,1710,F,NB,USSU-VSF01,1710,002,20190929,20190929,USD
4500000415,1710,F,NB,USSU-VSF01,1710,002,20190929,20190929,USD
4500000416,1710,F,NB,USSU-VSF05,1710,002,20190929,20190929,USD
4500000417,1710,F,NB,USSU-VSF06,1710,002,20190929,20190929,USD
4500000418,1710,F,NB,USSU-VSF07,1710,002,20190929,20190929,USD
4500000419,1710,F,NB,USSU-VSF08,1710,002,20190929,20190929,USD
4500000420,1710,F,NB,USSU-VSF08,1710,002,20190929,20190929,USD
4500000421,1710,F,NB,USSU-VSF06,1710,002,20190929,20190929,USD
4500000422,1710,F,NB,USSU-VSF04,1710,002,20190929,20190929,USD
4500000423,1710,F,NB,USSU-VSF02,1710,002,20190929,20190929,USD
4500000424,1710,F,NB,USSU-VSF01,1710,002,20190929,20190929,USD
4500000425,1710,F,NB,USSU-VSF01,1710,002,20190929,20190929,USD
4500000426,1710,F,NB,USSU-VSF01,1710,002,20190929,20190929,USD
4500000427,1710,F,NB,USSU-VSF01,1710,002,20190929,20190929,USD
4500000428,1710,F,NB,USSU-VSF05,1710,002,20190929,20190929,USD
4500000429,1710,F,NB,USSU-VSF06,1710,002,20190929,20190929,USD
4500000430,1710,F,NB,USSU-VSF07,1710,002,20190929,20190929,USD
4500000431,1710,F,NB,USSU-VSF08,1710,002,20190929,20190929,USD
4500000432,1710,F,NB,USSU-VSF08,1710,002,20190929,20190929,USD
4500000433,1710,F,NB,USSU-VSF06,1710,002,20190929,20190929,USD
4500000434,1710,F,NB,USSU-VSF04,1710,002,20190929,20190929,USD
4500000435,1710,F,NB,USSU-VSF02,1710,002,20190929,20190929,USD
4500000436,1710,F,NB,USSU-VSF01,1710,002,20190929,20190929,USD
4500000437,1710,F,NB,USSU-VSF01,1710,002,20190929,20190929,USD
4500000438,1710,F,NB,USSU-VSF01,1710,002,20190929,20190929,USD
4500000439,1710,F,NB,USSU-VSF01,1710,002,20190929,20190929,USD
4500000440,1710,F,NB,USSU-VSF05,1710,002,20190929,20190929,USD
4500000441,1710,F,NB,USSU-VSF06,1710,002,20190929,20190929,USD
4500000442,1710,F,NB,USSU-VSF07,1710,002,20190929,20190929,USD
4500000443,1710,F,NB,USSU-VSF08,1710,002,20190929,20190929,USD
4500000444,1710,F,NB,USSU-VSF08,1710,002,20190929,20190929,USD
4500000445,1710,F,NB,USSU-VSF06,1710,002,20190929,20190929,USD
4500000515,1710,F,NB,USSU-VSF01,1710,002,20191021,20191021,USD
4500000516,1710,F,NB,USSU-VSF01,1710,002,20191021,20191021,USD
4500000448,1710,F,NB,USSU-VSF01,1710,002,20191002,20191002,USD
4500000449,1710,F,NB,USSU-VSF04,1710,002,20191002,20191002,USD
4500000450,1710,F,NB,USSU-VSF02,1710,002,20191002,20191002,USD
4500000451,1710,F,NB,USSU-VSF01,1710,002,20191002,20191002,USD
4500000452,1710,F,NB,USSU-VSF01,1710,002,20191002,20191002,USD
4500000453,1710,F,NB,USSU-VSF01,1710,002,20191002,20191002,USD
4500000454,1710,F,NB,USSU-VSF01,1710,002,20191002,20191002,USD
4500000455,1710,F,NB,USSU-VSF05,1710,002,20191002,20191002,USD
4500000456,1710,F,NB,USSU-VSF06,1710,002,20191002,20191002,USD
4500000457,1710,F,NB,USSU-VSF07,1710,002,20191002,20191002,USD
4500000458,1710,F,NB,USSU-VSF08,1710,002,20191002,20191002,USD
4500000459,1710,F,NB,USSU-VSF08,1710,002,20191002,20191002,USD
