EBELN,EBELP,MATNR,WERKS,LGORT,MENGE,MEINS,NETPR,PEINH,ELIKZ,AEDAT
4500000004,00001,MZ-RM-M550-01,1710,171A,35,ST,669.08,1,X,20171008
4500000004,00002,MZ-RM-M550-02,1710,171A,35,ST,38.23,1,X,20171008
4500000004,00003,MZ-RM-M550-03,1710,171A,35,ST,38.23,1,X,20171008
4500000004,00004,MZ-RM-M550-04,1710,171A,70,ST,47.79,1,X,20171008
4500000004,00005,MZ-RM-M550-05,1710,171A,35,ST,152.93,1,X,20171008
4500000004,00006,MZ-RM-M550-06,1710,171A,35,ST,95.58,1,X,20171008
4500000004,00007,MZ-RM-M550-07,1710,171A,35,ST,229.4,1,X,20171008
4500000004,00008,MZ-RM-M550-08,1710,171A,35,ST,114.7,1,X,20171008
4500000004,00009,MZ-RM-M550-09,1710,171A,35,ST,382.33,1,X,20171008
4500000004,00010,MZ-RM-M550-10,1710,171A,35,ST,95.58,1,X,20171008
4500000006,00001,MZ-RM-M500-01,1710,171A,93,ST,114.42,1,X,20171008
4500000006,00002,MZ-RM-M500-02,1710,171A,93,ST,9.54,1,X,20171008
4500000006,00003,MZ-RM-M500-03,1710,171A,93,ST,9.54,1,X,20171008
4500000006,00004,MZ-RM-M500-04,1710,171A,186,ST,16.69,1,X,20171008
4500000006,00005,MZ-RM-M500-05,1710,171A,93,ST,38.14,1,X,20171008
4500000006,00006,MZ-RM-M500-06,1710,171A,93,ST,33.37,1,X,20171008
4500000006,00007,MZ-RM-M500-07,1710,171A,93,ST,57.21,1,X,20171008
4500000006,00008,MZ-RM-M500-08,1710,171A,93,ST,28.61,1,X,20171008
4500000006,00009,MZ-RM-M500-09,1710,171A,93,ST,123.96,1,X,20171008
4500000006,00010,MZ-RM-M500-10,1710,171A,93,ST,28.61,1,X,20171008
4500000016,00001,MZ-RM-M550-01,1710,171A,59,ST,669.08,1,X,20171008
4500000016,00002,MZ-RM-M550-02,1710,171A,59,ST,38.23,1,X,20171008
4500000016,00003,MZ-RM-M550-03,1710,171A,59,ST,38.23,1,X,20171008
4500000016,00004,MZ-RM-M550-04,1710,171A,118,ST,47.79,1,X,20171008
4500000016,00005,MZ-RM-M550-05,1710,171A,59,ST,152.93,1,X,20171008
4500000016,00006,MZ-RM-M550-06,1710,171A,59,ST,95.58,1,X,20171008
4500000016,00007,MZ-RM-M550-07,1710,171A,59,ST,229.4,1,X,20171008
4500000016,00008,MZ-RM-M550-08,1710,171A,59,ST,114.7,1,X,20171008
4500000016,00009,MZ-RM-M550-09,1710,171A,59,ST,382.33,1,X,20171008
4500000016,00010,MZ-RM-M550-10,1710,171A,59,ST,95.58,1,X,20171008
4500000018,00001,MZ-RM-M500-01,1710,171A,68,ST,114.42,1,X,20171008
4500000018,00002,MZ-RM-M500-02,1710,171A,68,ST,9.54,1,X,20171008
4500000018,00003,MZ-RM-M500-03,1710,171A,68,ST,9.54,1,X,20171008
4500000018,00004,MZ-RM-M500-04,1710,171A,136,ST,16.69,1,X,20171008
4500000018,00005,MZ-RM-M500-05,1710,171A,68,ST,38.14,1,X,20171008
4500000018,00006,MZ-RM-M500-06,1710,171A,68,ST,33.37,1,X,20171008
4500000018,00007,MZ-RM-M500-07,1710,171A,68,ST,57.21,1,X,20171008
4500000018,00008,MZ-RM-M500-08,1710,171A,68,ST,28.61,1,X,20171008
4500000018,00009,MZ-RM-M500-09,1710,171A,68,ST,123.96,1,X,20171008
4500000018,00010,MZ-RM-M500-10,1710,171A,68,ST,28.61,1,X,20171008
4500000045,00001,MZ-RM-M550-01,1710,171A,31,ST,669.08,1,X,20171018
4500000045,00002,MZ-RM-M550-02,1710,171A,31,ST,38.23,1,X,20171018
4500000045,00003,MZ-RM-M550-03,1710,171A,31,ST,38.23,1,X,20171018
4500000045,00004,MZ-RM-M550-04,1710,171A,62,ST,47.79,1,X,20171018
4500000045,00005,MZ-RM-M550-05,1710,171A,31,ST,152.93,1,X,20171018
4500000045,00006,MZ-RM-M550-06,1710,171A,31,ST,95.58,1,X,20171018
4500000045,00007,MZ-RM-M550-07,1710,171A,31,ST,229.4,1,X,20171018
4500000045,00008,MZ-RM-M550-08,1710,171A,31,ST,114.7,1,X,20171018
4500000045,00009,MZ-RM-M550-09,1710,171A,31,ST,382.33,1,X,20171018
4500000045,00010,MZ-RM-M550-10,1710,171A,31,ST,95.58,1,X,20171018
4500000047,00001,MZ-RM-M500-01,1710,171A,50,ST,114.42,1,X,20171018
4500000047,00002,MZ-RM-M500-02,1710,171A,50,ST,9.54,1,X,20171018
