OBJNR,STAT,INACT
OV100000006300000001,I0002,
OV100000014200000001,I0002,
OV100000014400000001,I0002,
OV100000010200000001,I0002,
OV100000012100000001,I0002,
OV100000014500000001,I0002,
OV000000040400000002,I0002,
OV000000040500000001,I0002,
OV000000040500000002,I0002,
OV000000040600000001,I0002,
OV000000040600000002,I0002,
OV000000040700000001,I0002,
OV000000040700000002,I0002,
OV000000040800000001,I0002,
OV000000040800000002,I0002,
OV000000040900000001,I0002,
OV000000040900000002,I0002,
OV000000041000000001,I0002,
OV000000041000000002,I0002,
OV000000042100000001,I0002,
OV000000044200000001,I0002,
OV000000044200000002,I0002,
OV000000044100000001,I0002,
OV000000044100000002,I0002,
OV000000044100000003,I0002,
OV000000044100000004,I0002,
OV000000046100000004,I0002,
OV000000046100000003,I0002,
OV000000046100000002,I0002,
OV000000046100000001,I0002,
OV000000048100000004,I0002,
OV000000048100000003,I0002,
OV000000048100000002,I0002,
OV000000048100000001,I0002,
OV000000048100000005,I0002,
OV000000048300000001,I0002,
OV000000048300000002,I0002,
OV000000048400000001,I0002,
OV000000048500000001,I0002,
OV000000050100000001,I0002,
OV000000050100000002,I0002,
OV000000050200000001,I0002,
OV000000050200000002,I0002,
OV000000050300000001,I0002,
OV000000050300000002,I0002,
OV000000050400000001,I0002,
OV000000050400000002,I0002,
OV000000050500000001,I0002,
OV000000050500000002,I0002,
OV000000050600000001,I0002,
OV000000050600000002,I0002,
OV000000050700000001,I0002,
OV000000050700000002,I0002,
OV000000050800000001,I0002,
OV000000050800000002,I0002,
OV000000050900000001,I0002,
OV000000050900000002,I0002,
OV000000052100000001,I0002,
OV000000052100000002,I0002,
OV000000052100000003,I0002,
OV000000052200000001,I0002,
OV000000054100000001,I0002,
OV000000054100000002,I0002,
OV000000054200000001,I0002,
OV000000054200000002,I0002,
OV000000054300000001,I0002,
OV000000054300000002,I0002,
OV000000054400000001,I0002,
OV000000054400000002,I0002,
OV000000054500000001,I0002,
OV000000054500000002,I0002,
OV000000054600000001,I0002,
OV000000054600000002,I0002,
OV000000054700000001,I0002,
OV000000054700000002,I0002,
OV000000054800000001,I0002,
OV000000054800000002,I0002,
OV000000054900000001,I0002,
OV000000054900000002,I0002,
OV000000056100000001,I0002,
OV000000056100000002,I0002,
OV000000056200000001,I0002,
OV000000056200000002,I0002,
OV000000056300000001,I0002,
OV000000056300000002,I0002,
OV000000056400000001,I0002,
OV000000056400000002,I0002,
OV000000056500000001,I0002,
OV000000056500000002,I0002,
