VBELN,VSTEL,VKORG,LFART,KUNNR,WADAT_IST,LFDAT,WADAT
0080000000,1710,1710,LF,USCU_L10,20171008,20171010,20171010
0080000001,1710,1710,LF,USCU_S07,20171008,20171010,20171010
0080000002,1710,1710,LF,USCU_S03,20171008,20171010,20171010
0080000003,1710,1710,LF,USCU_S15,20171008,20171010,20171010
0080000004,1710,1710,LF,USCU_L04,20171008,20171010,20171010
0080000005,1710,1710,LF,USCU_L02,20171008,20171010,20171010
0080000006,1710,1710,LF,USCU_L09,20171008,20171010,20171010
0080000007,1710,1710,LF,USCU_S05,20171008,20171010,20171010
0080000008,1710,1710,LF,USCU_S17,20171008,20171010,20171010
0080000009,1710,1710,LF,USCU_L03,20171008,20171010,20171010
0080000010,1710,1710,LF,USCU_L08,20171008,20171010,20171010
0080000011,1710,1710,LF,USCU_S10,20171008,20171010,20171010
0080000012,1710,1710,LF,USCU_S06,20171008,20171010,20171010
0080000013,1710,1710,LF,USCU_S09,20171008,20171010,20171010
0080000014,1710,1710,LF,USCU_L01,20171008,20171010,20171010
0080000015,1710,1710,LF,USCU_S15,20171008,20171010,20171010
0080000016,1710,1710,LF,USCU_L04,20171008,20171010,20171010
0080000017,1710,1710,LF,USCU_L10,20171008,20171010,20171010
0080000102,1710,1710,LF,0017100100,20171024,20171026,20171024
0180000000,1710,,EL,,20171019,20171018,00000000
0080000844,1710,1710,LF,USCU_S13,20191021,20190220,20190220
0080000096,1710,1710,LF,0017100005,20171019,20171023,20171019
0080000320,1710,1710,LF,0017100005,20180312,20180409,20180404
0080000024,1710,1710,LF,0017100001,20171018,20171020,20171018
0080000025,1710,1710,LF,0017100001,20171018,20171020,20171018
0080000023,1710,1710,LF,0017100002,20171018,20171019,20171018
0080000026,1710,1710,LF,USCU_L09,20171010,20171018,20171018
0080000027,1710,1710,LF,USCU_L04,20171010,20171018,20171018
0080000028,1710,1710,LF,USCU_L03,20171010,20171018,20171018
0080000029,1710,1710,LF,USCU_S10,20171010,20171018,20171018
0080000030,1710,1710,LF,USCU_S03,20171010,20171018,20171018
0080000031,1710,1710,LF,USCU_S14,20171010,20171018,20171018
0080000032,1710,1710,LF,USCU_S14,20171010,20171018,20171018
0080000033,1710,1710,LF,USCU_S10,20171010,20171018,20171018
0080000034,1710,1710,LF,USCU_L06,20171010,20171018,20171018
0080000035,1710,1710,LF,USCU_L01,20171010,20171018,20171018
0080000036,1710,1710,LF,USCU_S04,20171010,20171018,20171018
0080000037,1710,1710,LF,USCU_L09,20171010,20171018,20171018
0080000038,1710,1710,LF,USCU_S10,20171010,20171018,20171018
0080000039,1710,1710,LF,USCU_S17,20171010,20171018,20171018
0080000040,1710,1710,LF,USCU_S02,20171010,20171018,20171018
0080000041,1710,1710,LF,USCU_L08,20171010,20171018,20171018
0080000042,1710,1710,LF,USCU_L03,20171010,20171018,20171018
0080000043,1710,1710,LF,USCU_L09,20171010,20171018,20171018
