VBELN,POSNR,MATNR,WERKS,LGORT,LFIMG,VRKME,PSTYV,VGBEL
0080001655,000010,MZ-FG-C900,1710,171A,39,ST,TAN,0000001880
0080000019,000010,TG11,1710,171A,2,ST,TAN,0000000043
0080000320,900001,FG226,1710,171A,10,ST,CB97,0000000313
0080000024,000010,TG11,1710,171A,2,ST,TAN,0000000054
0080000025,000010,TG11,1710,171A,1,ST,TAN,0000000055
0080000023,000010,TG11,1710,171A,2,ST,TAN,0000000052
0080000023,000020,TG11,1710,171A,1,ST,TAN,0000000053
0080000026,000010,MZ-FG-C900,1710,171A,1,ST,TAN,0000000056
0080000027,000010,MZ-FG-C900,1710,171A,61,ST,TAN,0000000057
0080000028,000010,MZ-FG-C900,1710,171A,14,ST,TAN,0000000058
0080000029,000010,MZ-FG-C900,1710,171A,17,ST,TAN,0000000059
0080000030,000010,MZ-FG-C900,1710,171A,17,ST,TAN,0000000060
0080000031,000010,MZ-FG-C900,1710,171A,14,ST,TAN,0000000061
0080000032,000010,MZ-FG-C950,1710,171A,38,ST,TAN,0000000062
0080000033,000010,MZ-FG-C950,1710,171A,31,ST,TAN,0000000063
0080000034,000010,MZ-FG-C950,1710,171A,8,ST,TAN,0000000064
0080000035,000010,MZ-FG-C950,1710,171A,12,ST,TAN,0000000065
0080000036,000010,MZ-FG-C950,1710,171A,6,ST,TAN,0000000066
0080000037,000010,MZ-FG-C950,1710,171A,7,ST,TAN,0000000067
0080000038,000010,MZ-FG-C990,1710,171A,95,ST,TAN,0000000068
0080000039,000010,MZ-FG-C990,1710,171A,124,ST,TAN,0000000069
0080000040,000010,MZ-FG-C990,1710,171A,47,ST,TAN,0000000070
0080000041,000010,MZ-FG-C990,1710,171A,5,ST,TAN,0000000071
0080000042,000010,MZ-FG-C990,1710,171A,7,ST,TAN,0000000072
0080000043,000010,MZ-FG-C990,1710,171A,11,ST,TAN,0000000073
0080000044,000010,MZ-FG-M500,1710,171A,3,ST,TAN,0000000074
0080000045,000010,MZ-FG-M500,1710,171A,3,ST,TAN,0000000075
0080000046,000010,MZ-FG-M500,1710,171A,15,ST,TAN,0000000076
0080000047,000010,MZ-FG-M500,1710,171A,18,ST,TAN,0000000077
0080000048,000010,MZ-FG-M500,1710,171A,11,ST,TAN,0000000078
0080000049,000010,MZ-FG-M525,1710,171A,16,ST,TAN,0000000079
0080000050,000010,MZ-FG-M525,1710,171A,20,ST,TAN,0000000080
0080000051,000010,MZ-FG-M525,1710,171A,99,ST,TAN,0000000081
0080000052,000010,MZ-FG-M525,1710,171A,154,ST,TAN,0000000082
