MATNR,SPRAS,MAKTX
RM129,E,"RAW129,PD"
SP001,E,Bearing
SP002,E,Coupling
SP003,E,Shaft
SP004,E,Gaskets 1mm
SP005,E,Mechanical Seal
SP006,E,Spur gear IS651
RM233-1,E,"RAW233-1, PD, KANBAN Stock Transfer"
RM233-2,E,"RAW233-2,ND,KANBAN,sched. agreements"
RM233-4,E,"RAW233-4,ND,KANBAN,sched. agreements"
RM234,E,"RAW234,VB,Repetitive Manuf."
SF-FL-COMB,E,Forklift Base Combustion Model
SF-FL-ELECTRIC,E,Forklift Base Electrical Model
SF-FL-CWEIGHT,E,Forklift Counterweight  Plate
SF-FL-TIRE-CUSH,E,Forklift Cushion Tire
SF-FL-TIRE-PNEU,E,Forklift Pneumatic Tire
S-202,E,"SEMI202,MTS,D1"
S-301,E,"SEMI301,MTS,PD,Subassembly"
R-302,E,"RAW302,PD"
R-401,E,"RAW401,D1"
MZ-RM-M525-06,E,BKM-525 Brakes
MZ-RM-M525-04,E,BKM-525 Wheels
MZ-RM-M525-03,E,BKM-525 Seat
MZ-RM-M525-07,E,BKM-525 Derailleur Gears
MZ-RM-M550-01,E,Frame-550
MZ-RM-M550-02,E,Handle Bars-550
MZ-RM-M525-08,E,BKM-525 Pedal Kit
MZ-RM-M525-09,E,BKM-525 Drive Train
MZ-RM-M525-10,E,BKM-525 Shock Kit
MZ-RM-M550-03,E,Seat - 550
MZ-RM-M550-04,E,Wheels-550
MZ-RM-M550-05,E,Forks-550
MZ-RM-M550-07,E,Derailleur Gears-550
MZ-RM-M550-09,E,Drive Train-550
MZ-RM-M550-10,E,Shock Kit-550
MZ-RM-M525-05,E,BKM-525 Forks
MZ-RM-M550-06,E,Brakes-550
MZ-RM-M550-08,E,Pedal Kit-550
MZ-RM-R100-01,E,BKR-100 Frame
MZ-RM-R100-06,E,BKR-100 Forks
MZ-RM-R100-02,E,BKR-100 Handle Bars
MZ-RM-R100-05,E,BKR-100 Wheels
MZ-RM-R100-07,E,BKR-100 Brakes
MZ-RM-R100-09,E,BKR-100 Pedal Kit
MZ-RM-R200-03,E,BKR-200 Seat
MZ-RM-R100-04,E,BKR-100 Seat
MZ-RM-R300-02,E,BKR-300 Handle Bars
MZ-RM-R100-08,E,BKR-100 Derailleur Gears
MZ-RM-R100-10,E,BKR-100 Drive Train
MZ-RM-R200-01,E,BKR-200 Frame
MZ-RM-R200-04,E,BKR-200 Wheels
MZ-RM-R200-05,E,BKR-200 Forks
MZ-RM-R200-02,E,BKR-200 Handle Bars
MZ-RM-R200-07,E,BKR-200 Derailleur Gears
MZ-RM-R200-08,E,BKR-200 Pedal Kit
MZ-RM-R200-09,E,BKR-200 Drive Train
MZ-RM-R300-01,E,BKR-300 Frame
MZ-RM-R300-03,E,BKR-300 Seat
MZ-RM-R300-04,E,BKR-300 Wheels
MZ-RM-R300-05,E,BKR-300 Forks
MZ-RM-R300-06,E,BKR-300 Brakes
MZ-RM-R300-07,E,BKR-300 Derailleur Gears
MZ-RM-R300-08,E,BKR-300 Pedal Kit
MZ-RM-R200-06,E,BKR-200 Brakes
MZ-RM-R300-09,E,BKR-300 Drive Train
S-201,E,"SEMI201,MTS,D1,Subassembly"
RM33,E,"RAW33,PD,Subcontracting"
RM34,E,"RAW34,PD,Subcontracting"
SF-FL-FORKSEAT-VXX,E,Seat Type of Fork lifter(HALB)
S-203,E,"SEMI203,D1"
R-311,E,"RAW311,PD"
R-410,E,"RAW410,PD"
R-411,E,"RAW411,PD"
R-412,E,"RAW412,PD"
S-208,E,"SEMI208,MTS,PD,Subassembly"
S-210,E,"SEMI210,MTS,PD,Subassembly"
S-310,E,"SEM310,MTS,PD,Subassembly"
S-315,E,"SEM315,MTS,PD,Subassembly"
RMIPD001,E,ARM Hardware 1
RMIPD002,E,ARM Hardware 2
SWNIPD001,E,ARM Software 1
SGPI001-V00,E,OUTPUT 1
SDBOMERLAHD,E,SD BOM Header ERLA
SDBOMERLAIT01,E,SD BOM ERLA Item01
SDBOMERLAIT02,E,SD BOM ERLA Item02
SDBOMLUMFHD,E,SD BOM Header LUMF
SDBOMLUMFIT01,E,SD BOM LUMF Item01
SDBOMLUMFIT02,E,SD BOM LUMF Item02
RMME01,E,"RAW01, MTS, ME Integration, A"
RMME02,E,"RAW02, MTS, ME Integration, A"
RMME03,E,"RAW03, MTS, ME Integration, A"
RMME04,E,"RAW04, MTS, ME Integration, A"
RMME05,E,"RAW05, MTS, ME Integration, A"
RMME06,E,"RAW06, MTS, ME Integration, A"
RMME07,E,"RAW07, MTS, ME Integration, A"
RMME08,E,"RAW08, MTS, ME Integration, A"
SGME01,E,"SEMI01, MTS, ME Integration, A"
SGME02,E,"SEMI02, MTS, ME Integration, A"
RMME10,E,"RAW10, MTS, ME Integration, B"
RMME11,E,"RAW11, MTS, ME Integration, B"
RMME12,E,"RAW12, MTS, ME Integration, B"
RMME13,E,"RAW13, MTS, ME Integration, B"
RMME14,E,"RAW14, MTS, ME Integration, B"
RMME15,E,"RAW15, MTS, ME Integration, B"
RMME16,E,"RAW16, MTS, ME Integration, B"
SGME03,E,"SEMI03, MTS, ME Integration, B"
SGME04,E,"SEMI04, MTS, ME Integration, B"
TG11,E,"Trad.Good 11,PD,Reg.Trading"
RM12,E,"RAW12,PD,RepetitiveManuf."
RM120,E,"RAW120,PD,QualityManaged"
RM122,E,"RAW122,PD,Batch-Fifo,ProcureImport"
RM124,E,"RAW124,VB,Consumption,FixedBin"
RM128,E,"RAW128,PD,Consignment"
RM13,E,"RAW13,PD,Subcontracting"
RM14,E,"RAW14,PD,Subcontracting"
RM17,E,"RAW17,PD"
RM16,E,"RAW16,PD"
RM27,E,"RAW27,PD,PackagingBox"
RM15,E,"RAW15,PD"
RM18,E,"RAW18,PD"
RM20,E,"RAW20,PD"
SG124,E,"SEMI124,PD,Subassembly"
SG21,E,"SEMI21,PD,RepetitiveManuf."
SG22,E,"SEMI22,PD,Phantom"
RM09,E,Dummy Text
RM19,E,Dummy Text
RM30,E,Dummy Text
RM235,E,"RAW235,VB"
RMPI001,E,Input 1 (WATER)
RMPI002,E,Input 2 (AGENT 2).
RMPI003,E,Input 3 (AGENT 3)
RMPI004,E,Input 4 (Agent 4)
RMPI005,E,Input 5 (Blue Color)
SGPI001,E,OUTPUT 1
QM006,E,QM PRODUCTION BATCH
SG-CFP,E,Centrifugal Pump
SG-CFP-ADAPTER,E,Adapter
