MATNR,WERKS,DISPO,DISGR,DISMM,DISLS,BSTMI,BSTMA,BSTFE,BSTRF,BESKZ,SOBSL,LGPRO,EISBE,PLIFZ,WEBAZ,AUSSS,DZEIT,MINBE
SDBOMERLAHD,1710,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT01,1710,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT01,1710,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT02,1710,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT02,1710,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAHD,1010,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT01,1010,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT01,1010,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMERLAIT02,1010,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
SDBOMLUMFIT02,1010,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
ZPRINTER01,1010,001,,PD,EX,0,0,0,0,F,,,0,1,0,0,0,0
AVC_RBT_SEALING,1010,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
AVC_RBT_SEALING,1710,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
AVC_RBT_CONTROL,1010,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,2,0
AVC_RBT_LINK_ARM,1010,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,2,0
AVC_RBT_ROBOT2,1010,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,2,0
AVC_RBT_CONTROL,1710,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,2,0
AVC_RBT_LINK_ARM,1710,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,2,0
AVC_RBT_ROBOT2,1710,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,2,0
AVC_RBT_APPL_UNIT,1010,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,2,0
AVC_RBT_BUNDLE,1010,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,2,0
AVC_RBT_CNTRL_UNIT,1010,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,2,0
AVC_RBT_ROBOT,1010,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,2,0
AVC_RBT_APPL_UNIT,1710,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,2,0
AVC_RBT_BUNDLE,1710,001,,PD,EX,0,0,0,0,E,,,0,10,0,0,2,0
TG11,1710,001,,PD,EX,0,0,0,0,F,,,0,10,0,0,0,0
