MATNR,WERKS,LGORT,LABST
TG11,6910,691A,0
TG11,6910,691R,0
FG126,6910,691A,0
FG126,6910,691B,0
FG126,6910,691R,0
RM12,6910,691B,0
RM12,6910,691C,0
RM120,6910,691B,0
RM120,6910,691C,0
RM122,6910,691B,0
RM122,6910,691C,0
RM124,6910,691B,0
RM124,6910,691C,0
RM128,6910,691B,0
RM128,6910,691C,0
RM13,6910,691B,0
RM13,6910,691C,0
RM14,6910,691B,0
RM14,6910,691C,0
RM16,6910,691B,0
RM16,6910,691C,0
RM20,6910,691B,0
RM20,6910,691C,0
RM27,6910,691B,0
RM27,6910,691C,0
SG124,6910,691B,0
SG21,6910,691B,0
SG22,6910,691B,0
SG224,6910,691B,0
SG25,6910,691B,0
SG23,6910,691B,0
RM129,6910,691B,0
RM129,6910,691C,0
FG130,6910,691A,0
FG130,6910,691B,0
SG30,6910,691B,0
FG228,6910,691A,0
FG228,6910,691B,0
FG228,6910,691R,0
SP001,6910,691B,0
SP002,6910,691B,0
SP003,6910,691B,0
SP004,6910,691B,0
SP005,6910,691B,0
SP006,6910,691B,0
RM33,6910,691B,0
RM33,6910,691C,0
RM34,6910,691B,0
RM34,6910,691C,0
SG27,6910,691B,0
RM233-1,6910,691B,0
RM233-2,6910,691E,0
RM233-4,6910,691B,0
SG233,6910,691B,0
SG234,6910,691B,0
FG129,6910,691A,0
FG129,6910,691B,0
SG29,6910,691B,0
RMPI001,6910,691C,0
RMPI002,6910,691C,0
RMPI003,6910,691C,0
RMPI004,6910,691C,0
RMPI005,6910,691C,0
SGPI001,6910,691B,0
SGPI001-V00,6910,691B,0
RMPI001,6910,691B,0
RMPI002,6910,691B,0
RMPI003,6910,691B,0
RMPI004,6910,691B,0
RMPI005,6910,691B,0
QM006,6910,691B,0
SDBOMERLAHD,6910,691A,0
SDBOMERLAHD,6910,691R,0
SDBOMERLAIT01,6910,691A,0
SDBOMERLAIT01,6910,691R,0
SDBOMERLAIT02,6910,691A,0
SDBOMERLAIT02,6910,691R,0
SDBOMLUMFHD,6910,691A,0
SDBOMLUMFHD,6910,691R,0
SDBOMLUMFIT01,6910,691A,0
SDBOMLUMFIT01,6910,691R,0
SDBOMLUMFIT02,6910,691A,0
SDBOMLUMFIT02,6910,691R,0
CM-FL-V01,6910,691A,0
SF-FL-COMB,6910,691B,0
SF-FL-CWEIGHT,6910,691B,0
SF-FL-ELECTRIC,6910,691B,0
SF-FL-TIRE-CUSH,6910,691B,0
SF-FL-TIRE-PNEU,6910,691B,0
CM-MLFL-KM-VXX,6910,691A,0
SF-FL-FORKSEAT-VXX,6910,691B,0
CM-FL-V00,6910,691A,0
CM-FL-V00,6910,691R,0
FG-FL-MV-V00,6910,691A,0
FG-FL-MV-V01,6910,691A,0
FG-FL-MV-V02,6910,691A,0
EWMS4-50,6910,691D,0
EWMS4-50,6910,691S,0
EWMS4-502,6910,691D,0
EWMS4-502,6910,691S,0
EWMS4-503,6910,691D,0
EWMS4-503,6910,691S,0
EWMS4-601,6910,691D,0
EWMS4-601,6910,691S,0
F-10A,6910,691A,0
F-10A,6910,691R,0
F-10B,6910,691A,0
F-10B,6910,691R,0
R-302,6910,691B,0
R-302,6910,691C,0
R-401,6910,691B,0
