MATNR,BWKEY,BKLAS,STPRS,VERPR,VPRSV
SP001,1010,3040,130,0,S
SP002,1010,3040,130.5,0,S
SP003,1010,3040,130.5,0,S
SP004,1010,3040,130,0,S
SP005,1010,3040,130.5,0,S
SP006,1010,3040,130.5,0,S
CM-FL-V00,1010,7900,4000,0,S
CM-FL-V01,1710,7920,4000,0,S
CM-FL-V01,1010,7920,4000,0,S
CM-MLFL-KM-VXX,1010,7920,4000,0,S
CSSRV_02,1010,3200,55,0,S
CM-FL-V00-3P,1010,7920,4000,0,S
AVC_RBT_BRD_PAINT,1010,7900,3100,0,S
AVC_RBT_BRD_SEAL,1010,7900,3100,0,S
AVC_RBT_CONTROL,1010,7920,4000,0,S
AVC_RBT_LINK_ARM,1010,7920,4000,0,S
AVC_RBT_ROBOT2,1010,7920,4000,0,S
AVC_RBT_D_ARM_110,1010,7900,3100,0,S
RMPC07,1010,3000,1,0,S
RMPC08,1010,3000,1,0,S
SGPCSVT01,1010,7900,15,0,S
AVC_RBT_CONTROL,1710,7920,4000,0,S
AVC_RBT_LINK_ARM,1710,7920,4000,0,S
AVC_RBT_ROBOT2,1710,7920,4000,0,S
CM-FL-V02,1710,7920,4000,0,S
AVC_RBT_APPL_UNIT,1710,7920,4000,0,S
AVC_RBT_BUNDLE,1710,7920,4000,0,S
AVC_RBT_CNTRL_UNIT,1710,7920,4000,0,S
AVC_RBT_ROBOT,1710,7920,4000,0,S
CM-FL-V00-3P,1710,7920,1,0,S
AVC_RBT_APPL_UNIT,1010,7920,4000,0,S
AVC_RBT_BASE_FRAME,1010,7900,100,0,S
AVC_RBT_BUNDLE,1010,7920,4000,0,S
AVC_RBT_CNTRL_UNIT,1010,7920,4000,0,S
AVC_RBT_D_ARM_50,1010,7900,3100,0,S
AVC_RBT_L_ARM_45,1010,7900,60,0,S
AVC_RBT_ROBOT,1010,7920,4000,0,S
FG-FL-MV-V00,1010,7920,4000,0,S
FG-FL-MV-V01,1010,7920,4000,0,S
FG-FL-MV-V02,1010,7920,4000,0,S
FG29,1010,7920,0.88,0,S
FG6200,1010,7920,6.28,0,S
FG6500,1010,7920,3.21,0,S
FGME01,1010,7920,18.65,0,S
