MATNR,VKORG,VTWEG,DWERK,KONDM,MVGR1
SG8100,1010,10,1010,,
AVC_RBT_CNTRL_BRD,1010,10,1010,,
AVC_RBT_CNTRL_CAB,1010,10,1010,,
AVC_RBT_SEALING,1010,10,1010,,
AVC_RBT_APPL_UNIT,1010,10,1010,,
AVC_RBT_BASE_FRAME,1010,10,1010,,
AVC_RBT_BUNDLE,1010,10,1010,,
AVC_RBT_CNTRL_UNIT,1010,10,1010,,
AVC_RBT_D_ARM_50,1010,10,1010,,
AVC_RBT_L_ARM_45,1010,10,1010,,
AVC_RBT_ROBOT,1010,10,1010,,
RMJIT01,1710,10,1710,,
RMJIT02,1710,10,1710,,
SGJIT01,1710,10,1710,,
SGJIT02,1710,10,1710,,
SG8100,1710,10,1710,,
AVC_RBT_CNTRL_BRD,1710,10,1710,,
AVC_RBT_CNTRL_CAB,1710,10,1710,,
AVC_RBT_SEALING,1710,10,1710,,
AVC_RBT_APPL_UNIT,1710,10,1710,,
AVC_RBT_BASE_FRAME,1710,10,1710,,
AVC_RBT_BUNDLE,1710,10,1710,,
AVC_RBT_CNTRL_UNIT,1710,10,1710,,
AVC_RBT_D_ARM_50,1710,10,1710,,
AVC_RBT_L_ARM_45,1710,10,1710,,
AVC_RBT_ROBOT,1710,10,1710,,
RMPC07,1010,10,1010,,
RMPC08,1010,10,1010,,
AVC_RBT_BRD_PAINT,1710,10,1710,,
AVC_RBT_BRD_SEAL,1710,10,1710,,
AVC_RBT_CONTROL,1710,10,1710,,
AVC_RBT_LINK_ARM,1710,10,1710,,
AVC_RBT_ROBOT2,1710,10,1710,,
AVC_RBT_D_ARM_110,1710,10,1710,,
RMPC07,1710,10,1710,,
RMPC08,1710,10,1710,,
SF-FL-FORKSEAT-VXX,1010,10,1010,,
SGJIT02-SERIALIZED,1010,10,1010,,
SF-FL-FORKSEAT-VXX,1710,10,1710,,
SGJIT02-SERIALIZED,1710,10,1710,,
FG126,1710,10,1710,,
