PLNTY,PLNNR,PLNKN,VORNR,ARBID,WERKS,STEUS,BMSCH,VGW01,VGW02,VGW03
N,41710015,00000001,0010,10000000,1710,YB99,100,0.001,0.001,0.001
S,41710005,00000001,0010,10000011,1710,YBRW,1,0,0,10
2,41010007,00000001,0010,10000033,1010,YPI1,10000,0,0,0
2,41010007,00000002,0020,00000000,1010,YPI1,10000,1,2,0
2,41010007,00000003,0030,10000032,1010,YBP4,10000,0,0,0
2,41010007,00000004,0040,00000000,1010,YBP4,10000,0.5,1,0
2,41010008,00000001,0010,10000039,1010,YBP4,10000,0,0,0
2,41010008,00000002,0020,00000000,1010,YBP4,10000,2,2,0
N,41710002,00000001,0010,10000000,1710,YBP1,100,30,200,200
N,41710002,00000002,0020,10000001,1710,YBP1,100,30,200,200
N,41710002,00000003,0030,10000002,1710,YBP1,100,30,200,200
N,41710002,00000004,0040,10000001,1710,YBP1,100,30,200,200
N,41710003,00000001,0010,10000010,1710,YBP1,100,30,10,10
N,41710003,00000002,0020,10000001,1710,YBP3,100,30,10,10
N,41710004,00000001,0010,10000004,1710,YBP3,100,10,10,30
N,41710000,00000001,0010,10000011,1710,YBP1,1,30,10,10
N,41710000,00000002,0010,10000000,1710,YBP1,100,30,10,10
N,41710000,00000003,0020,10000001,1710,YBP1,100,30,10,10
N,41710000,00000004,0030,10000002,1710,YBP1,100,30,10,10
N,41710000,00000005,0040,10000001,1710,YBP1,100,30,10,10
N,41710001,00000001,0010,10000010,1710,YBP1,100,30,10,10
N,41710001,00000002,0020,10000001,1710,YBP1,100,30,10,10
R,41710009,00000001,0010,10000004,1710,YBP3,100,10,10,30
R,41710010,00000001,0010,10000004,1710,YBP3,100,10,10,30
Q,51710001,00000001,0010,10000016,1710,QM01,1,0,0,0
N,41710010,00000001,0010,10000000,1710,YBP1,100,50,150,150
N,41710010,00000003,0030,10000002,1710,YBP1,100,50,150,150
N,41710011,00000001,0010,10000000,1710,YBP1,100,50,150,150
N,41710010,00000002,0020,10000011,1710,YBQ1,100,50,150,150
Q,50171001,00000001,0010,10000016,1710,QM01,1,0,0,0
Q,50171002,00000001,0010,10000016,1710,QM01,1,0,0,0
Q,50171004,00000001,0010,10000016,1710,QM01,1,0,0,0
Q,50171005,00000001,0010,10000016,1710,QM01,1,0,0,0
N,41710051,00000001,0010,10000000,1710,YBP1,100,30,10,10
N,41710052,00000001,0010,10000000,1710,YBP1,100,30,10,10
N,41710053,00000001,0010,10000000,1710,YBP1,100,30,10,10
N,41710054,00000001,0010,10000000,1710,YBP1,100,30,10,10
N,41710055,00000001,0010,10000000,1710,YBP1,100,30,10,10
N,41710051,00000002,0020,10000001,1710,YBP1,100,30,10,10
N,41710052,00000002,0020,10000001,1710,YBP1,100,30,10,10
N,41710053,00000002,0020,10000001,1710,YBP1,100,30,10,10
N,41710054,00000002,0020,10000001,1710,YBP1,100,30,10,10
N,41710055,00000002,0020,10000001,1710,YBP1,100,30,10,10
N,41710051,00000003,0030,10000002,1710,YBP1,100,30,10,10
N,41710052,00000003,0030,10000002,1710,YBP1,100,30,10,10
N,41710053,00000003,0030,10000002,1710,YBP1,100,30,10,10
N,41710054,00000003,0030,10000002,1710,YBP1,100,30,10,10
N,41710055,00000003,0030,10000002,1710,YBP1,100,30,10,10
N,41710051,00000004,0040,10000001,1710,YBP1,100,30,10,10
N,41710052,00000004,0040,10000001,1710,YBP1,100,30,10,10
N,41710053,00000004,0040,10000001,1710,YBP1,100,30,10,10
N,41710054,00000004,0040,10000001,1710,YBP1,100,30,10,10
N,41710055,00000004,0040,10000001,1710,YBP1,100,30,10,10
N,41710031,00000001,0010,10000000,1710,YBP1,1,60,120,180
Q,00000001,00000001,0010,00000000,1710,QM01,1,0,0,0
N,41710200,00000001,0010,10000000,1710,YBP1,100,30,10,10
N,41710023,00000001,0010,10000017,1710,YBP1,100,30,10,10
N,41710024,00000001,0010,10000018,1710,YBP1,100,30,10,10
N,41710025,00000001,0010,10000019,1710,YBP1,100,30,10,10
N,41710026,00000001,0010,10000020,1710,YBP1,100,30,10,10
N,50000009,00000001,0010,10000025,1710,YBP1,100,1164,2721,4044
N,50000009,00000002,0020,10000026,1710,YBP3,100,291,680,1011
N,50000010,00000001,0010,10000025,1710,YBP1,100,2718,1789,6840
N,50000010,00000002,0020,10000026,1710,YBP3,100,680,447,1710
N,50000011,00000001,0010,10000025,1710,YBP1,100,2954,4962,7090
N,50000011,00000002,0020,10000026,1710,YBP3,100,739,1241,1773
N,50000012,00000001,0010,10000023,1710,YBP1,100,468,1365,3290
N,50000012,00000002,0020,10000024,1710,YBP3,100,117,341,822
N,50000013,00000001,0010,10000023,1710,YBP1,100,1578,1443,8276
N,50000013,00000002,0020,10000024,1710,YBP3,100,395,360,2069
N,50000014,00000001,0010,10000023,1710,YBP1,100,2914,6800,14573
N,50000014,00000002,0020,10000024,1710,YBP3,100,728,1700,3643
N,50000015,00000001,0010,10000021,1710,YBP1,100,549,687,915
N,50000015,00000002,0020,10000022,1710,YBP3,100,137,172,229
N,50000016,00000001,0010,10000021,1710,YBP1,100,3261,4077,5436
N,50000016,00000002,0020,10000022,1710,YBP3,100,815,1019,1359
N,50000017,00000001,0010,10000021,1710,YBP1,100,4650,5813,7751
N,50000017,00000002,0020,10000022,1710,YBP3,100,1163,1453,1937
N,41010015,00000001,0010,10000027,1010,YB99,100,0.001,0.001,0.001
S,41010005,00000001,0010,10000038,1010,YBRW,1,0,0,10
N,41010000,00000001,0010,10000027,1010,YBP1,100,30,10,10
N,41010000,00000002,0020,10000028,1010,YBP1,100,30,10,10
N,41010000,00000003,0030,10000029,1010,YBP1,100,30,10,10
N,41010000,00000004,0040,10000028,1010,YBP1,100,30,10,10
N,41010001,00000001,0010,10000037,1010,YBP1,100,30,10,10
N,41010001,00000002,0020,10000028,1010,YBP1,100,30,10,10
2,41710007,00000001,0010,10000006,1710,YPI1,10000,0,0,0
2,41710007,00000002,0020,00000000,1710,YPI1,10000,1,2,0
2,41710007,00000003,0030,10000005,1710,YBP4,10000,0,0,0
2,41710007,00000004,0040,00000000,1710,YBP4,10000,0.5,1,0
2,41710008,00000001,0010,10000012,1710,YBP4,10000,0,0,0
2,41710008,00000002,0020,00000000,1710,YBP4,10000,2,2,0
N,41010002,00000001,0010,10000027,1010,YBP1,100,30,200,200
N,41010002,00000002,0020,10000028,1010,YBP1,100,30,200,200
N,41010002,00000003,0030,10000029,1010,YBP1,100,30,200,200
N,41010002,00000004,0040,10000028,1010,YBP1,100,30,200,200
N,41010003,00000001,0010,10000037,1010,YBP1,100,30,10,10
N,41010003,00000002,0020,10000028,1010,YBP3,100,30,10,10
N,41010004,00000001,0010,10000031,1010,YBP3,100,10,10,30
N,41010000,00000005,0010,10000038,1010,YBP1,1,30,10,10
R,41010009,00000001,0010,10000031,1010,YBP3,100,10,10,30
R,41010010,00000001,0010,10000031,1010,YBP3,100,10,10,30
Q,51010001,00000001,0010,10000043,1010,QM01,1,0,0,0
N,41010010,00000001,0010,10000027,1010,YBP1,100,50,150,150
N,41010010,00000002,0020,10000038,1010,YBQ1,100,50,150,150
N,41010010,00000003,0030,10000029,1010,YBP1,100,50,150,150
N,41010011,00000001,0010,10000027,1010,YBP1,100,50,150,150
Q,50101001,00000001,0010,10000043,1010,QM01,1,0,0,0
Q,50101002,00000001,0010,10000043,1010,QM01,1,0,0,0
Q,50101004,00000001,0010,10000043,1010,QM01,1,0,0,0
Q,50101005,00000001,0010,10000043,1010,QM01,1,0,0,0
N,41010051,00000001,0010,10000027,1010,YBP1,100,30,10,10
N,41010052,00000001,0010,10000027,1010,YBP1,100,30,10,10
N,41010053,00000001,0010,10000027,1010,YBP1,100,30,10,10
N,41010054,00000001,0010,10000027,1010,YBP1,100,30,10,10
N,41010055,00000001,0010,10000027,1010,YBP1,100,30,10,10
N,41010051,00000002,0020,10000028,1010,YBP1,100,30,10,10
N,41010052,00000002,0020,10000028,1010,YBP1,100,30,10,10
N,41010053,00000002,0020,10000028,1010,YBP1,100,30,10,10
N,41010054,00000002,0020,10000028,1010,YBP1,100,30,10,10
N,41010055,00000002,0020,10000028,1010,YBP1,100,30,10,10
N,41010051,00000003,0030,10000029,1010,YBP1,100,30,10,10
N,41010052,00000003,0030,10000029,1010,YBP1,100,30,10,10
N,41010053,00000003,0030,10000029,1010,YBP1,100,30,10,10
N,41010054,00000003,0030,10000029,1010,YBP1,100,30,10,10
N,41010055,00000003,0030,10000029,1010,YBP1,100,30,10,10
