RSNUM,RSPOS,MATNR,WERKS,AUFNR,BDMNG,MEINS
0000000001,0001,MZ-RM-R300-01,1710,000001000000,49,ST
0000000001,0002,MZ-RM-R300-02,1710,000001000000,49,ST
0000000001,0003,MZ-RM-R300-03,1710,000001000000,49,ST
0000000001,0004,MZ-RM-R300-04,1710,000001000000,98,ST
0000000001,0005,MZ-RM-R300-05,1710,000001000000,49,ST
0000000001,0006,MZ-RM-R300-06,1710,000001000000,49,ST
0000000001,0007,MZ-RM-R300-07,1710,000001000000,49,ST
0000000001,0008,MZ-RM-R300-08,1710,000001000000,49,ST
0000000001,0009,MZ-RM-R300-09,1710,000001000000,49,ST
0000000002,0001,MZ-RM-R200-01,1710,000001000001,49,ST
0000000002,0002,MZ-RM-R200-02,1710,000001000001,49,ST
0000000002,0003,MZ-RM-R200-03,1710,000001000001,49,ST
0000000002,0004,MZ-RM-R200-04,1710,000001000001,98,ST
0000000002,0005,MZ-RM-R200-05,1710,000001000001,49,ST
0000000002,0006,MZ-RM-R200-06,1710,000001000001,49,ST
0000000002,0007,MZ-RM-R200-07,1710,000001000001,49,ST
0000000002,0008,MZ-RM-R200-08,1710,000001000001,49,ST
0000000002,0009,MZ-RM-R200-09,1710,000001000001,49,ST
0000000003,0001,MZ-RM-R100-01,1710,000001000002,73,ST
0000000003,0002,MZ-RM-R100-02,1710,000001000002,73,ST
0000000003,0003,MZ-RM-R100-04,1710,000001000002,73,ST
0000000003,0004,MZ-RM-R100-05,1710,000001000002,146,ST
0000000003,0005,MZ-RM-R100-06,1710,000001000002,73,ST
0000000003,0006,MZ-RM-R100-07,1710,000001000002,73,ST
0000000003,0007,MZ-RM-R100-08,1710,000001000002,73,ST
0000000003,0008,MZ-RM-R100-09,1710,000001000002,73,ST
0000000003,0009,MZ-RM-R100-10,1710,000001000002,73,ST
0000000004,0001,MZ-RM-M550-01,1710,000001000003,35,ST
0000000004,0002,MZ-RM-M550-02,1710,000001000003,35,ST
0000000004,0003,MZ-RM-M550-03,1710,000001000003,35,ST
0000000004,0004,MZ-RM-M550-04,1710,000001000003,70,ST
0000000004,0005,MZ-RM-M550-05,1710,000001000003,35,ST
0000000004,0006,MZ-RM-M550-06,1710,000001000003,35,ST
0000000004,0007,MZ-RM-M550-07,1710,000001000003,35,ST
0000000004,0008,MZ-RM-M550-08,1710,000001000003,35,ST
0000000004,0009,MZ-RM-M550-09,1710,000001000003,35,ST
0000000004,0010,MZ-RM-M550-10,1710,000001000003,35,ST
0000000005,0001,MZ-RM-M525-01,1710,000001000004,251,ST
0000000005,0002,MZ-RM-M525-02,1710,000001000004,251,ST
0000000005,0003,MZ-RM-M525-03,1710,000001000004,251,ST
0000000005,0004,MZ-RM-M525-04,1710,000001000004,502,ST
0000000005,0005,MZ-RM-M525-05,1710,000001000004,251,ST
0000000005,0006,MZ-RM-M525-06,1710,000001000004,251,ST
0000000005,0007,MZ-RM-M525-07,1710,000001000004,251,ST
0000000005,0008,MZ-RM-M525-08,1710,000001000004,251,ST
0000000005,0009,MZ-RM-M525-09,1710,000001000004,251,ST
0000000005,0010,MZ-RM-M525-10,1710,000001000004,251,ST
0000000006,0001,MZ-RM-M500-01,1710,000001000005,93,ST
0000000006,0002,MZ-RM-M500-02,1710,000001000005,93,ST
0000000006,0003,MZ-RM-M500-03,1710,000001000005,93,ST
0000000006,0004,MZ-RM-M500-04,1710,000001000005,186,ST
0000000006,0005,MZ-RM-M500-05,1710,000001000005,93,ST
0000000006,0006,MZ-RM-M500-06,1710,000001000005,93,ST
0000000006,0007,MZ-RM-M500-07,1710,000001000005,93,ST
0000000006,0008,MZ-RM-M500-08,1710,000001000005,93,ST
0000000006,0009,MZ-RM-M500-09,1710,000001000005,93,ST
0000000006,0010,MZ-RM-M500-10,1710,000001000005,93,ST
0000000007,0001,MZ-RM-C990-01,1710,000001000006,403,ST
0000000007,0002,MZ-RM-C990-02,1710,000001000006,403,ST
0000000007,0003,MZ-RM-C990-03,1710,000001000006,403,ST
0000000007,0004,MZ-RM-C990-04,1710,000001000006,806,ST
0000000007,0005,MZ-RM-C990-05,1710,000001000006,403,ST
0000000007,0006,MZ-RM-C990-06,1710,000001000006,403,ST
0000000007,0007,MZ-RM-C990-09,1710,000001000006,403,ST
0000000008,0001,MZ-RM-C950-01,1710,000001000007,82,ST
0000000008,0002,MZ-RM-C950-02,1710,000001000007,82,ST
0000000008,0003,MZ-RM-C950-03,1710,000001000007,82,ST
0000000008,0004,MZ-RM-C950-04,1710,000001000007,164,ST
0000000008,0005,MZ-RM-C950-05,1710,000001000007,82,ST
0000000008,0006,MZ-RM-C950-06,1710,000001000007,82,ST
0000000008,0007,MZ-RM-C950-07,1710,000001000007,82,ST
0000000009,0001,MZ-RM-C900-01,1710,000001000008,107,ST
0000000009,0002,MZ-RM-C900-02,1710,000001000008,107,ST
0000000009,0003,MZ-RM-C900-03,1710,000001000008,107,ST
0000000009,0004,MZ-RM-C900-04,1710,000001000008,214,ST
0000000009,0005,MZ-RM-C900-05,1710,000001000008,107,ST
0000000009,0006,MZ-RM-C900-06,1710,000001000008,107,ST
0000000009,0007,MZ-RM-C900-07,1710,000001000008,107,ST
0000000010,0001,MZ-RM-R300-01,1710,000001000009,33,ST
0000000010,0002,MZ-RM-R300-02,1710,000001000009,33,ST
0000000010,0003,MZ-RM-R300-03,1710,000001000009,33,ST
0000000010,0004,MZ-RM-R300-04,1710,000001000009,66,ST
0000000010,0005,MZ-RM-R300-05,1710,000001000009,33,ST
0000000010,0006,MZ-RM-R300-06,1710,000001000009,33,ST
0000000010,0007,MZ-RM-R300-07,1710,000001000009,33,ST
0000000010,0008,MZ-RM-R300-08,1710,000001000009,33,ST
0000000010,0009,MZ-RM-R300-09,1710,000001000009,33,ST
0000000011,0001,MZ-RM-R200-01,1710,000001000010,41,ST
0000000011,0002,MZ-RM-R200-02,1710,000001000010,41,ST
0000000011,0003,MZ-RM-R200-03,1710,000001000010,41,ST
0000000011,0004,MZ-RM-R200-04,1710,000001000010,82,ST
0000000011,0005,MZ-RM-R200-05,1710,000001000010,41,ST
0000000011,0006,MZ-RM-R200-06,1710,000001000010,41,ST
0000000011,0007,MZ-RM-R200-07,1710,000001000010,41,ST
0000000011,0008,MZ-RM-R200-08,1710,000001000010,41,ST
0000000011,0009,MZ-RM-R200-09,1710,000001000010,41,ST
0000000012,0001,MZ-RM-R100-01,1710,000001000011,69,ST
0000000012,0002,MZ-RM-R100-02,1710,000001000011,69,ST
0000000012,0003,MZ-RM-R100-04,1710,000001000011,69,ST
0000000012,0004,MZ-RM-R100-05,1710,000001000011,138,ST
0000000012,0005,MZ-RM-R100-06,1710,000001000011,69,ST
0000000012,0006,MZ-RM-R100-07,1710,000001000011,69,ST
0000000012,0007,MZ-RM-R100-08,1710,000001000011,69,ST
0000000012,0008,MZ-RM-R100-09,1710,000001000011,69,ST
0000000012,0009,MZ-RM-R100-10,1710,000001000011,69,ST
0000000013,0001,MZ-RM-M550-01,1710,000001000012,59,ST
0000000013,0002,MZ-RM-M550-02,1710,000001000012,59,ST
0000000013,0003,MZ-RM-M550-03,1710,000001000012,59,ST
0000000013,0004,MZ-RM-M550-04,1710,000001000012,118,ST
0000000013,0005,MZ-RM-M550-05,1710,000001000012,59,ST
0000000013,0006,MZ-RM-M550-06,1710,000001000012,59,ST
0000000013,0007,MZ-RM-M550-07,1710,000001000012,59,ST
0000000013,0008,MZ-RM-M550-08,1710,000001000012,59,ST
0000000013,0009,MZ-RM-M550-09,1710,000001000012,59,ST
0000000013,0010,MZ-RM-M550-10,1710,000001000012,59,ST
0000000014,0001,MZ-RM-M525-01,1710,000001000013,296,ST
0000000014,0002,MZ-RM-M525-02,1710,000001000013,296,ST
0000000014,0003,MZ-RM-M525-03,1710,000001000013,296,ST
0000000014,0004,MZ-RM-M525-04,1710,000001000013,592,ST
0000000014,0005,MZ-RM-M525-05,1710,000001000013,296,ST
0000000014,0006,MZ-RM-M525-06,1710,000001000013,296,ST
0000000014,0007,MZ-RM-M525-07,1710,000001000013,296,ST
0000000014,0008,MZ-RM-M525-08,1710,000001000013,296,ST
0000000014,0009,MZ-RM-M525-09,1710,000001000013,296,ST
0000000014,0010,MZ-RM-M525-10,1710,000001000013,296,ST
0000000015,0001,MZ-RM-M500-01,1710,000001000014,68,ST
0000000015,0002,MZ-RM-M500-02,1710,000001000014,68,ST
0000000015,0003,MZ-RM-M500-03,1710,000001000014,68,ST
0000000015,0004,MZ-RM-M500-04,1710,000001000014,136,ST
0000000015,0005,MZ-RM-M500-05,1710,000001000014,68,ST
0000000015,0006,MZ-RM-M500-06,1710,000001000014,68,ST
0000000015,0007,MZ-RM-M500-07,1710,000001000014,68,ST
0000000015,0008,MZ-RM-M500-08,1710,000001000014,68,ST
0000000015,0009,MZ-RM-M500-09,1710,000001000014,68,ST
0000000015,0010,MZ-RM-M500-10,1710,000001000014,68,ST
0000000016,0001,MZ-RM-C990-01,1710,000001000015,323,ST
0000000016,0002,MZ-RM-C990-02,1710,000001000015,323,ST
0000000016,0003,MZ-RM-C990-03,1710,000001000015,323,ST
0000000016,0004,MZ-RM-C990-04,1710,000001000015,646,ST
0000000016,0005,MZ-RM-C990-05,1710,000001000015,323,ST
0000000016,0006,MZ-RM-C990-06,1710,000001000015,323,ST
0000000016,0007,MZ-RM-C990-09,1710,000001000015,323,ST
0000000017,0001,MZ-RM-C950-01,1710,000001000016,177,ST
0000000017,0002,MZ-RM-C950-02,1710,000001000016,177,ST
0000000017,0003,MZ-RM-C950-03,1710,000001000016,177,ST
0000000017,0004,MZ-RM-C950-04,1710,000001000016,354,ST
0000000017,0005,MZ-RM-C950-05,1710,000001000016,177,ST
0000000017,0006,MZ-RM-C950-06,1710,000001000016,177,ST
0000000017,0007,MZ-RM-C950-07,1710,000001000016,177,ST
0000000018,0001,MZ-RM-C900-01,1710,000001000017,126,ST
0000000018,0002,MZ-RM-C900-02,1710,000001000017,126,ST
0000000018,0003,MZ-RM-C900-03,1710,000001000017,126,ST
0000000018,0004,MZ-RM-C900-04,1710,000001000017,252,ST
0000000018,0005,MZ-RM-C900-05,1710,000001000017,126,ST
0000000018,0006,MZ-RM-C900-06,1710,000001000017,126,ST
0000000018,0007,MZ-RM-C900-07,1710,000001000017,126,ST
0000000789,0001,SP001,1710,000004000100,1,ST
0000000789,0002,SP004,1710,000004000100,1,ST
0000000789,0003,SP006,1710,000004000100,1,ST
0000000825,0001,SP001,1710,000004000120,1,ST
0000000826,0001,FG126,1710,000006000020,15,ST
0000000023,0003,RM128,1710,000001000020,100,ST
0000000023,0005,SG23,1710,000001000020,100,ST
0000000023,0006,SG25,1710,000001000020,100,ST
0000000023,0009,RM27,1710,000001000020,100,ST
0000000023,0010,SG22,1710,000001000020,100,ST
0000000023,0011,RM16,1710,000001000020,100,ST
0000000023,0012,RM17,1710,000001000020,100,ST
0000000024,0001,FG126,1710,000006000000,10,ST
0000000026,0001,MZ-RM-R300-01,1710,000001000021,45,ST
0000000026,0002,MZ-RM-R300-02,1710,000001000021,45,ST
0000000026,0003,MZ-RM-R300-03,1710,000001000021,45,ST
0000000026,0004,MZ-RM-R300-04,1710,000001000021,90,ST
0000000026,0005,MZ-RM-R300-05,1710,000001000021,45,ST
0000000026,0006,MZ-RM-R300-06,1710,000001000021,45,ST
0000000026,0007,MZ-RM-R300-07,1710,000001000021,45,ST
0000000026,0008,MZ-RM-R300-08,1710,000001000021,45,ST
0000000026,0009,MZ-RM-R300-09,1710,000001000021,45,ST
0000000027,0001,MZ-RM-R200-01,1710,000001000022,46,ST
0000000027,0002,MZ-RM-R200-02,1710,000001000022,46,ST
0000000027,0003,MZ-RM-R200-03,1710,000001000022,46,ST
0000000027,0004,MZ-RM-R200-04,1710,000001000022,92,ST
0000000027,0005,MZ-RM-R200-05,1710,000001000022,46,ST
0000000027,0006,MZ-RM-R200-06,1710,000001000022,46,ST
0000000027,0007,MZ-RM-R200-07,1710,000001000022,46,ST
0000000027,0008,MZ-RM-R200-08,1710,000001000022,46,ST
0000000027,0009,MZ-RM-R200-09,1710,000001000022,46,ST
0000000028,0001,MZ-RM-R100-01,1710,000001000023,39,ST
0000000028,0002,MZ-RM-R100-02,1710,000001000023,39,ST
0000000028,0003,MZ-RM-R100-04,1710,000001000023,39,ST
0000000028,0004,MZ-RM-R100-05,1710,000001000023,78,ST
0000000028,0005,MZ-RM-R100-06,1710,000001000023,39,ST
0000000028,0006,MZ-RM-R100-07,1710,000001000023,39,ST
0000000028,0007,MZ-RM-R100-08,1710,000001000023,39,ST
0000000028,0008,MZ-RM-R100-09,1710,000001000023,39,ST
