STLNR,STLKN,IDNRK,MENGE,MEINS,POSTP,AUSCH,POSNR,EWAHR
00000018,00000001,RM16,100,ST,L,0,0010,0
00000020,00000001,RM13,100,ST,L,0,0010,0
00000024,00000001,S-201,100,ST,L,0,0010,0
00000025,00000001,S-301,100,ST,L,0,0010,0
00000026,00000001,R-401,100,ST,L,0,0010,0
00000037,00000001,RM16,100,ST,L,0,0010,0
00000039,00000001,RM124,100,ST,L,0,0010,0
00000038,00000001,SG21,100,ST,L,0,0010,0
00000045,00000001,RM13,100,ST,L,0,0010,0
00000046,00000001,SG233,100,ST,L,0,0010,0
00000047,00000001,RM234,100,ST,L,0,0010,0
00000048,00000001,RM124,100,ST,L,0,0010,0
00000049,00000001,SG29,100,ST,L,0,0010,0
00000053,00000001,S-201,100,ST,L,0,0010,0
00000054,00000001,S-301,100,ST,L,0,0010,0
00000055,00000001,R-401,100,ST,L,0,0010,0
00000058,00000001,RM33,100,ST,L,0,0010,0
00000023,00000001,S-201,100,ST,L,0,0010,0
00000060,00000001,S-208,100,ST,L,0,0010,0
00000061,00000001,S-315,100,ST,L,0,0010,0
00000062,00000001,R-411,100,ST,L,0,0010,0
00000063,00000001,S-310,100,ST,L,0,0010,0
00000064,00000001,R-410,100,ST,L,0,0010,0
00000066,00000001,RM13,100,ST,L,0,0010,0
00000085,00000001,RM33,100,ST,L,0,0010,0
00000052,00000001,S-201,100,ST,L,0,0010,0
00000086,00000001,RM13,100,ST,L,0,0010,0
00000103,00000001,RM235,100,ST,L,0,0010,0
00000105,00000001,S-208,100,ST,L,0,0010,0
00000106,00000001,S-315,100,ST,L,0,0010,0
00000107,00000001,R-411,100,ST,L,0,0010,0
00000108,00000001,S-310,100,ST,L,0,0010,0
00000109,00000001,R-410,100,ST,L,0,0010,0
00000113,00000001,SG21,100,ST,L,0,0010,0
00000114,00000001,RM27,100,ST,L,0,0010,0
00000115,00000001,SG21,100,ST,L,0,0010,0
00000116,00000001,SG21,100,ST,L,0,0010,0
00000123,00000001,RM235,100,ST,L,0,0010,0
00000127,00000001,SG21,100,ST,L,0,0010,0
00000129,00000001,SG21,100,ST,L,0,0010,0
00000130,00000001,SG21,100,ST,L,0,0010,0
00000178,00000001,RM124,100,ST,L,0,0010,0
00000179,00000001,SG30,100,ST,L,0,0010,0
00000182,00000001,RM124,100,ST,L,0,0010,0
00000183,00000001,SG30,100,ST,L,0,0010,0
00000204,00000001,D2O_0905720543_C,1,ST,L,0,0010,0
00000204,00000002,D2O_0905720544_C,1,ST,L,0,0020,0
00000204,00000003,D2O_0903271777_C,4,ST,L,0,0030,0
00000204,00000004,D2O_0905721008,2,ST,L,0,0040,0
00000204,00000005,D2O_1800481527,1,ST,L,0,0050,0
00000204,00000006,D2O_0563557002,2,ST,L,0,0060,0
00000204,00000007,D2O_0905721007,2,ST,L,0,0070,0
00000204,00000008,D2O_0424955000,3,ST,L,0,0080,0
00000204,00000009,D2O_0905720429,1,ST,L,0,0090,0
00000204,00000010,D2O_0902056385,1,ST,L,0,0100,0
00000204,00000011,D2O_0625555452,1,ST,L,0,0110,0
00000204,00000012,D2O_0901513373_C,1,ST,L,0,0120,0
00000204,00000013,D2O_0905271384,2,ST,L,0,0130,0
00000204,00000014,D2O_0901513371,1,ST,L,0,0140,0
00000204,00000015,D2O_0900047034,2,ST,L,0,0150,0
00000204,00000016,D2O_0904277018_C,1,ST,L,0,0160,0
00000205,00000002,SOM_MSU_WL_VM,1,EA,N,0,0020,0
00000205,00000001,SOM_SCR_WL_BR_MTL,1,EA,N,0,0010,0
00000207,00000001,SG1_DS,1,ST,L,0,0010,0
00000206,00000002,SOM_SCR_VM_INST_SO,1,EA,N,0,0020,0
00000206,00000001,SOM_SCR_VM_INST_GP,1,EA,N,0,0010,0
00000207,00000002,RM1_DS,1,ST,L,0,0020,0
00000208,00000001,RM2_DS,1,ST,L,0,0010,0
00000209,00000001,SG2_DS,1,ST,L,0,0010,0
00000209,00000002,RM3_DS,1,ST,L,0,0020,0
00000210,00000001,RM4_DS,1,ST,L,0,0010,0
00000211,00000001,D2O_0905720543_C,1,ST,L,0,0010,0
00000211,00000002,D2O_0905720544_C,1,ST,L,0,0020,0
00000211,00000003,D2O_0903271777_C,4,ST,L,0,0030,0
00000211,00000004,D2O_0905721008,2,ST,L,0,0040,0
00000211,00000005,D2O_1800481527,1,ST,L,0,0050,0
00000211,00000006,D2O_0563557002,2,ST,L,0,0060,0
00000211,00000007,D2O_0905721007,2,ST,L,0,0070,0
00000211,00000008,D2O_0424955000,3,ST,L,0,0080,0
00000211,00000009,D2O_0905720429,1,ST,L,0,0090,0
00000211,00000010,D2O_0902056385,1,ST,L,0,0100,0
00000211,00000011,D2O_0625555452,1,ST,L,0,0110,0
00000211,00000012,D2O_0901513373_C,1,ST,L,0,0120,0
00000211,00000013,D2O_0905271384,2,ST,L,0,0130,0
00000211,00000014,D2O_0901513371,1,ST,L,0,0140,0
00000211,00000015,D2O_0900047034,2,ST,L,0,0150,0
00000211,00000016,D2O_0904277018_C,1,ST,L,0,0160,0
00000205,00000003,SOM_SCR_CLD_STR,1,EA,N,0,0030,0
00000212,00000001,SG1_DS,1,ST,L,0,0010,0
00000212,00000002,RM1_DS,1,ST,L,0,0020,0
00000213,00000001,RM2_DS,1,ST,L,0,0010,0
00000214,00000001,SG2_DS,1,ST,L,0,0010,0
00000214,00000002,RM3_DS,1,ST,L,0,0020,0
00000215,00000001,RM4_DS,1,ST,L,0,0010,0
00000001,00000001,RM16,100,ST,L,0,0010,0
00000002,00000001,SG21,100,ST,L,0,0010,0
00000002,00000002,SG22,100,ST,L,0,0020,0
00000002,00000003,RM122,100,ST,L,0,0030,0
00000002,00000004,RM128,100,ST,L,0,0040,0
00000002,00000005,SG23,100,ST,L,0,0060,0
00000002,00000006,SG25,100,ST,L,0,0070,0
00000002,00000007,SG124,100,ST,L,0,0080,0
00000002,00000008,RM20,100,ST,L,0,0090,0
00000002,00000009,RM27,100,ST,L,0,0100,0
00000003,00000001,RM124,100,ST,L,0,0010,0
00000004,00000001,RM124,100,ST,L,0,0010,0
00000005,00000001,SG30,100,ST,L,0,0010,0
00000005,00000002,RM20,100,ST,L,0,0020,0
00000006,00000001,RM15,1000,ST,L,0,0010,0
