MANDT,SPRAS,MSEHI,MSEH3,MSEH6,MSEHT,MSEHL
400,K,%,%,%,%,Procent
400,J,%,%,Percnt,%,百分率
400,E,%,%,%,%,Percentage
400,K,%O,%O,%O,%0,Promille
400,J,%O,%O,% O,%0,パーミル
400,E,%O,%O,%O,%0,Per Mille
400,J,1,ONE,1,1,1
400,E,1,ONE,One,One,One
400,J,10,D,d,日,日数
400,E,10,D,d,Days,Days
400,K,4O,µF,µF,µF,Mikrofarad
400,J,4O,μF,µf,μF,マイクロファラド
400,E,4O,µF,µF,µF,Microfarad
400,K,4T,PF,pF,pF,Pikofarad
400,J,4T,PF,pF,pF,ピコファラド
400,E,4T,PF,pF,pF,Picofarad
400,K,A,A,A,A,Ampere
400,J,A,A,a,A,アンペア
400,E,A,A,A,A,Ampere
400,K,A87,GOH,GOhm,GOhm,Gigaohm
400,J,A87,GOH,GOhm,GOhm,ギガオーム
400,E,A87,GOH,GOhm,GOhm,Gigaohm
400,J,A93,GM3,g/m3,g/m3,グラム毎立方メートル
400,E,A93,GM3,g/m3,g/m3,Gram/Cubic Meter
400,K,ACR,ACR,acre,Acre,Acre
400,J,ACR,ACR,acre,エーカー,エーカー
400,E,ACR,ACR,acre,Acre,Acre
400,J,B34,KD3,kg/dm3,kg/dm3,キログラム毎立方デシメートル
400,E,B34,KD3,kg/dm3,kg/dm3,Kilogram/cubic decimeter
400,K,B45,KML,kmol,kmol,Kilomol
400,J,B45,KML,kmol,kmol,キロモル
400,E,B45,KML,kmol,kmol,Kilomol
400,K,B47,KN,kN,kN,Kilonewton
400,J,B47,NI,ND,ND,キロニュートン
400,E,B47,NI,ND,ND,Kilonewton
400,K,B73,MN,MN,MN,Meganewton
400,J,B73,MN,mn,MN,メガニュートン
400,E,B73,MN,MN,MN,Meganewton
400,K,B75,MGO,MOhm,MOhm,Megaohm
400,J,B75,MGO,MOhm,MOhm,メガオーム
400,E,B75,MGO,MOhm,MOhm,Megohm
400,K,22S,22S,mm2/s,mm2/s,Kvadratmillimeter/sekund
400,J,22S,22S,mm2/s,mm2/s,平方ミリメートル毎秒
400,E,22S,22S,mm2/s,mm2/s,Square millimeter/second
400,K,2M,CMS,cm/s,cm/s,Centimeter/sekund
400,J,2M,CMS,cm/s,cm/s,センチメートル毎秒
