ISTAT,SPRAS,TXT04,TXT30
I0001,E,CRTD,Created
I0001,D,EROF,Eröffnet
I0008,D,TDRU,Teilgedruckt
I0003,D,FKAP,Fehlende Kapazität
I0016,D,VOKL,Vorkalkuliert
I0029,D,TMEX,Termine von ext. Syst. gesetzt
I0034,D,RMUF,Untergeord. Auftrag frei
I0035,D,RMUP,Untergeord. Auftrag gedruckt
I0036,D,RMUR,Untergeord. Auftrag rückgemel.
I0037,D,UMGP,Umgeplant
I0053,D,VKNT,Vorgangskontierung
I0054,D,FVBK,Fehlende Kapazität
I0055,D,FRAB,Freigabe abgelehnt
I0062,D,TVSP,Terminverwaltung gesperrt
I0066,D,GENT,Genehmigt
I0074,D,TGLI,Teilgeliefert
I0075,D,ENGS,Entnahme gescheitert
I0077,D,NOLV,Vorgang LVMS verboten
I0003,E,MSCP,Capacity Shortage
I0091,D,SOTR,Untervorgang teilrückgemeldet
I0092,D,SORU,Untervorgang rückgemeldet
I0094,D,ERLV,Erlöse gebucht
I0096,D,ERPL,Erlöse geplant
I0455,B,IPEX,בתהליך מחוץ ל-EH&S
I0103,D,RSUM,Summenrückmeldung
I0105,D,URUE,Unterbrechung Rüsten
I0108,D,UBEA,Unterbrechung Bearbeiten
I0111,D,UARU,Unterbrechung Abrüsten
I0117,D,EIGP,Eingeplant
I0118,D,NTER,Termine nicht aktuell
I0119,D,AKTV,Aktiv
I0123,D,WOHN,Wohnungsmietvertrag
I0126,D,VKUE,Gekündigt
I0128,D,FRMD,Fremdgenutzt
I0132,D,VRMV,Zur Vermietung vorgesehen
I0133,D,SERO,Eröffnet      (Standard-PSP)
I0134,D,SFRE,Freigegeben   (Standard-PSP)
I0136,D,WEGS,WE gescheitert
I0137,D,VRKV,Für Verkauf vorgesehen
I0141,D,VRKT,Teilverkauft
I0143,D,ABRT,Teilabriß
I0144,D,WTUN,Wirtschaftlicher Untergang
I0145,D,WTUT,Teilwirtschaftlicher Untergang
I0146,D,AEDR,Änderungsdruck erforderlich
I0148,D,TEIL,Teilungserklärung
I0152,D,BSTV,Für Bestand vorgesehen
I0164,D,ZKAL,Zu kalkulieren
I0175,D,VOBT,Vorbereitet
I0176,D,ABGl,Abgelehnt
I0177,D,NTWP,Workcenter-Dat. nicht berücks.
I0046,1,CLSD,已关闭
I0181,D,SRvw,Steuerrezept verworfen
I0182,D,EPLF,Erzeugen Prüflos fehlgeschlag.
I0189,D,EPRU,In Prüfung
I0195,D,KPBE,In Bearbeitung
I0196,D,KPFR,Freigegeben
I0197,D,KPAB,Abgeschlossen
I0198,D,KPST,Storniert
I0199,D,KPLK,Löschvormerkung
I0207,D,STIP,Stichprobe ermittelt
I0213,D,ERG,Ergebnisse rückgemeldet
I0233,D,VSUB,Vorgesehen für Subsystem
I0241,D,SREZ,Steuerrezept erzeugt
I0245,D,CYTS,teilgesplittet
I0246,D,CYZG,zugeteilt
I0247,D,CYTZ,teilzugeteilt
I0248,D,CYTG,teileingeplant
I0251,D,ÄPRF,Änderungsantrag prüfen
I0252,D,GEPR,Änderungsantrag geprüft
I0253,D,GENE,Änderungsantrag genehmigt
I0254,D,BEAR,Änderungsauftrag zu bearbeiten
I0255,D,ÄTRÜ,Änderungsauftrag teilrückgem.
I0256,D,ÄRÜC,Änderungsauftrag rückgemeldet
I0257,D,ÄABG,Änderungsauftrag abgeschlossen
I0258,D,ÄFRE,Änderungsauftrag freigegeben
I0267,D,SRen,Steuerrezept beendet
I0271,D,TRUE,Teilende Rüsten
I0272,D,TBEA,Teilende Bearbeiten
I0273,D,TARU,Teilende Abrüsten
I0276,D,ÄSSP,Änderung d. System gesperrt
I0277,D,ÄBSP,Änderung d. Benutzer gespert
I0286,D,VACT,variable Leistung teilrückgem.
I0287,D,VACE,variable Leistung endrückgem.
I0294,D,ZGPF,Zeugnisbestätigung fehlt
I0297,D,VErü,Verwend.entsch. zurückgenommen
I0301,D,UOBJ,Unterobjekt vorhanden
I0302,D,ZUOD,Zugeordnet
I0303,D,ABGL,Änderungsantrag abgelehnt
I0304,D,UNVO,Änderungauftrag unvollständig
I0308,D,BTNV,Zum Bedarfstermin n. verfügbar
I0319,D,TPRV,Transferpreise für Maßnahmen
I0321,D,WABE,Warenbewegung erfolgt
I0332,D,BBGT,Abgerechnet
I0334,D,BRFL,Verfallen
I0335,D,AKNI,Knocked in
I0336,D,AKNO,Knocked out
I0338,D,AO02,VerfügbPrüfung ausführen
I0342,D,VOST,Änderungauftrag vollständig
I0352,D,ABRN,Abgerechnet
I0354,D,ZGEN,Zur Genehmigung
I0359,D,ABGE,Abgelehnt
I0364,D,GNMT,Genehmigt
I0365,D,FMST,Fortschrittsrückmeldung (MST)
I0366,D,ZGOK,Zeugniseingang bestätigt
I0367,D,ETDR,Etikett gedruckt
I0375,D,TARC,Teilobjekte archiviert
I0377,D,FVTG,Fremdvorgang teilgeliefert
I0378,D,FVGL,Fremdvorgang geliefert
I0379,D,CPAR,Chargenprotokoll archiviert
I0385,D,TREP,Teilrepariert
I0391,D,AEVB,Änderungen verboten
I0004,D,FMAT,Materialunterdeckung
I0397,D,FAKT,fakturiert
I0398,D,TFAK,teilfakturiert
I0401,D,PCMN,Produktionskampagne
I0403,D,NFS,Initialstatus
I0404,D,SFS,Freischalten
I0406,D,IFS,Freigeschaltet
I0409,D,STNM,Temporär normalisieren
I0410,D,ITNM,Temporär normalisiert
I0411,D,ETFH,Etikettendruck fehlgeschlagen
I0416,D,VORA,Vorabversand erfolgt
I0417,D,KONF,Konflikt
I0419,D,FSAB,FS-Abwicklung
I0002,D,FREI,Freigegeben
I0428,D,TEST,Testzyklus
I0429,D,TST,Testzyklus
I0430,D,STAG,Technisch abschließen sperren
I0435,D,VBAR,Chargenprotokoll archiviert
I0439,D,SU,angelegt
I0441,D,LO,gesperrt
I0442,D,RE,freigegeben
I0445,D,ÄNDN,Änderungsmodus
I0449,D,IC,inaktiv
I0450,D,OP,eröffnet
I0452,D,CL,abgeschlossen
I0485,D,KKMP,Keine Materialkomponenten
I0487,D,SPLE,Erzeugt durch Splitten
I0489,D,TABE,Techn. Abgeschl. aus Eröffnet
I0500,D,QUOT,Keine Materialkomponenten
I0515,D,ELA,entladen
I0517,D,GSPR,gesperrt
I0522,D,WAGB,Warenausgang gebucht
I0523,D,GLOE,gelöscht
I0536,D,CFVE,Für Verteilung freigegeben
I0545,D,EERL,Ergebnisermittlungsrelevant
I0551,D,ASIM,Simulation
I0552,D,AORD,Order
I0556,D,GZBE,Zu bestätigen
I0559,D,AZST,Storniert
I0560,D,GELO,Gelöscht
I0561,D,Verf,Verfallen
I0562,D,INIT,Initial
I0563,D,AFIX,Fixing
I0566,D,VORZ,Vorzeitige Abwicklung
I0567,D,ZIAN,Zinsanpassung
I0568,D,GEKU,Gekündigt
I0570,D,IB,In Bearbeitung
I0571,D,ZF,Zur Freigabe
I0572,D,FRZG,Freigabe erforderlich
I0573,D,FRAg,Freigabe abgelehnt
I0580,D,EXPL,Externe Planauftragsumsetzung
I0590,D,UÄ,Unkritische Änderung
I0600,D,FR,Freigegeben
I0612,D,BEW,Bewertet
I0639,D,UNTA,Unterschrift angehängt
I0650,D,XSpr,Steuerrezept erzeugt
I0651,D,XSez,Steuerrezept in Bearbeitung
I0652,D,XSgn,XStep generiert
I0700,D,ZADG,Zinsanpassung durchgeführt
I0701,D,ZAGD,Zinsanpassung geändert
I0702,D,ZAST,Zinsanpassung storniert
I0703,D,AFWD,Fälligkeit Forward
I0751,D,WCDR,WEC: Date Adjustment Requested
I0752,D,WCDC,WEC: Date Adjustment Completed
I0753,D,WCDP,WEC: Date Adjustment Pending
I0800,D,MNEU,Neu
I0801,D,MIBE,In Bearbeitung
I0802,D,MABG,Abgeschlossen
I0803,D,EXBE,Externe Bearbeitung
I0805,D,LOES,Löschvormerkung
I0806,D,ARCH,Gesperrt für Archivierung
I0807,D,FLEX,Vorgaben flexibel zugeordnet
I0808,D,EXKU,Externe Bearbeitung Kunde
I0810,D,1100,archivierbar
I0811,D,1101,archiviert
I0860,D,VF,Vorverlegung Fälligkeit
I0992,D,SAPR,Zur Budgetgenehmigung gesendet
I1063,D,CARC,Zur Archivierung vorgemerkt
I1064,D,CGBL,Gesperrt
I1085,D,CDEL,Zum Löschen vorgemerkt
I1103,D,LOCK,gesperrt
I1104,D,PARC,Zu archivieren
I1170,D,gep,Geplant
I1171,D,bea,Beantragt
I1172,D,gen,Genehmigt
I1173,D,abg,Abgelehnt
I1174,D,akt,Aktiv
I1175,D,obs,Obsolet
I1519,D,WVBg,Wiederverwendeter Auftrag
I1906,D,SDVC,änderbare Version zu prüfen
I1907,D,SDVY,Version geprüft - ok
