VBELN,VKORG,VTWEG,SPART,AUART,KUNNR,BSTNK,ERDAT
0000003974,1710,10,00,TA,0017100002,2021-122,20210115
0000004515,1710,10,00,TA,USCU_L01,4500126311,20211109
0060000003,1710,10,00,RK,0017100008,,20171024
0000002564,1710,10,00,TA,USCU_S13,4500027782,20200203
0000002565,1710,10,00,TA,USCU_L04,4500027756,20200203
0000000004,1710,10,00,TA,USCU_L10,4500045090,20171008
0040000001,1710,10,00,VC01,0017100001,16101702,20171016
0020000053,1710,10,00,AG,0017100001,318_TG11_MH_12,20190318
0000002566,1710,10,00,TA,USCU_L09,4500027810,20200203
0000001859,1710,10,00,TA,0017100005,145,20191022
0020000012,1710,10,00,AG,0017100001,318_TG10_MH_1,20190318
0000001862,1710,10,00,TA,0017100005,PO123,20191022
0000002567,1710,10,00,TA,USCU_S02,4500027729,20200203
0000000797,1710,10,00,TA,USCU_L03,4500071806,20181106
0000002044,1710,10,00,SD2,0017100003,,20191105
0000002568,1710,10,00,TA,USCU_S17,4500027837,20200203
0000002056,1710,10,00,TA,0017100001,SD00002_1119,20191105
0020001519,1710,10,00,AG,EWM17-CU01,PO480000099,20200210
0060000075,1710,10,00,CBAR,0017100003,,20191105
0000001997,1710,10,00,TA,USCU_L09,4500110624,20191104
0020001092,1710,10,00,AG,EWM17-CU01,PO 450000099,20191106
0020000973,1710,10,00,AG,USCU_L09,4500110451,20191104
0020001097,1710,10,00,AG,0017100001,,20191107
0000000022,1710,10,00,TA,USCU_L10,4500045091,20171008
0000000023,1710,10,00,TA,USCU_S07,4500045060,20171008
0000000024,1710,10,00,TA,USCU_S03,4500044999,20171008
0000000025,1710,10,00,TA,USCU_S15,4500045122,20171008
0000000026,1710,10,00,TA,USCU_L04,4500045030,20171008
0000000027,1710,10,00,TA,USCU_L02,4500044968,20171008
0000000028,1710,10,00,TA,USCU_L09,4500045276,20171008
0000000029,1710,10,00,TA,USCU_S05,4500045184,20171008
0000000030,1710,10,00,TA,USCU_S17,4500045305,20171008
0000000031,1710,10,00,TA,USCU_L03,4500045153,20171008
0000000032,1710,10,00,TA,USCU_L08,4500045214,20171008
0000000033,1710,10,00,TA,USCU_S10,4500045245,20171008
0000000034,1710,10,00,TA,USCU_S06,4500045367,20171008
0000000035,1710,10,00,TA,USCU_S09,4500045428,20171008
0000000036,1710,10,00,TA,USCU_L01,4500045336,20171008
0000000037,1710,10,00,TA,USCU_S15,4500045489,20171008
0000000038,1710,10,00,TA,USCU_L04,4500045398,20171008
0000000039,1710,10,00,TA,USCU_L10,4500045459,20171008
0050000000,1710,10,00,PV,,,20171009
0050000001,1710,10,00,PV,,,20171009
0000000052,1710,10,00,TA,0017100002,18101701,20171018
0000000053,1710,10,00,TA,0017100002,18101702,20171018
0070000000,1710,10,00,L2,0017100001,,20171009
0000000040,1710,10,00,TA,0017100003,10091701,20171009
0000000043,1710,10,00,TA,0017100003,10091704,20171009
0000002144,1710,10,00,TA,0017100001,tra0980,20191107
0010000000,1710,10,00,AF,0017100003,,20171009
0000000054,1710,10,00,TA,0017100001,18101703,20171018
0000000055,1710,10,00,TA,0017100001,18101704,20171018
0060000004,1710,10,00,CBRE,0017100003,,20171024
0000001929,1710,10,00,TA,USCU_S13,4500107507,20191022
0000001930,1710,10,00,TA,USCU_L09,4500107538,20191022
0000000049,1710,10,00,TA,0017100001,16101704,20171016
0000001957,1710,10,00,TA,0017100004,242,20191029
0000002181,1710,10,00,TA,0017100001,114_TG12_MH_46,20191111
0020000940,1710,10,00,AG,0017100001,114_TG12_MH_46,20191104
0000001931,1710,10,00,TA,USCU_L03,4500107416,20191022
