VBELN,POSNR,MATNR,WERKS,KWMENG,VRKME,NETPR,WAERK,PSTYV
0000001804,000010,MZ-FG-C990,1710,8,ST,1002,USD,TAN
0000001805,000010,MZ-FG-C990,1710,19,ST,1002,USD,TAN
0000001806,000010,MZ-FG-M500,1710,28,ST,889,USD,TAN
0000001807,000010,MZ-FG-M500,1710,12,ST,889,USD,TAN
0000001808,000010,MZ-FG-M500,1710,16,ST,889,USD,TAN
0000001809,000010,MZ-FG-M500,1710,4,ST,889,USD,TAN
0000001810,000010,MZ-FG-M500,1710,12,ST,889,USD,TAN
0000001811,000010,MZ-FG-M500,1710,6,ST,889,USD,TAN
0000001812,000010,MZ-FG-M525,1710,2,ST,1587,USD,TAN
0000001813,000010,MZ-FG-M525,1710,174,ST,1587,USD,TAN
0000001814,000010,MZ-FG-M525,1710,42,ST,1587,USD,TAN
0000001815,000010,MZ-FG-M525,1710,40,ST,1587,USD,TAN
0000001816,000010,MZ-FG-M525,1710,16,ST,1587,USD,TAN
0000001817,000010,MZ-FG-M525,1710,20,ST,1587,USD,TAN
0000001818,000010,MZ-FG-M550,1710,2,ST,3892,USD,TAN
0000001819,000010,MZ-FG-M550,1710,2,ST,3892,USD,TAN
0000001820,000010,MZ-FG-M550,1710,35,ST,3892,USD,TAN
0000001821,000010,MZ-FG-M550,1710,25,ST,3892,USD,TAN
0000001822,000010,MZ-FG-R100,1710,1,ST,565,USD,TAN
0000001823,000010,MZ-FG-R100,1710,7,ST,565,USD,TAN
0000001824,000010,MZ-FG-R100,1710,8,ST,565,USD,TAN
0000001826,000010,MZ-FG-R100,1710,38,ST,565,USD,TAN
0000001827,000010,MZ-FG-R100,1710,14,ST,565,USD,TAN
0000001828,000010,MZ-FG-R200,1710,6,ST,3977,USD,TAN
0060000045,000010,TG11,1710,1,ST,5.26,USD,RENV
0000001861,000010,TG11,1710,1,ST,0,USD,CBXN
0000001786,000010,FG6200,1710,100,KG,7.12,USD,TAN
0000002039,000010,TG11,1710,3,ST,17.55,USD,TAN
0060000048,000010,TG11,1710,1,ST,17.55,USD,RENV
0000001865,000010,TG11,1710,1,ST,0,USD,CBXN
0000001866,000010,TG11,1710,5,ST,17.55,USD,TAN
0060000052,000010,TG11,1710,1,ST,17.55,USD,RENV
0000001867,000010,TG11,1710,1,ST,0,USD,CBXN
0000001870,000010,TG11,1710,10,ST,17.55,USD,TAN
0000001877,000010,TG11,1710,10,ST,17.55,USD,TAN
0000001753,000010,TG11,1710,10,ST,17.55,USD,TAN
0000001878,000010,TG11,1710,10,ST,17.55,USD,TAN
0000005534,000020,TG11,1710,3,ST,17.55,USD,TAN
0020000821,000010,MZ-FG-C900,1710,39,ST,440,USD,AGN
0020000822,000010,MZ-FG-C900,1710,31,ST,440,USD,AGN
0020000823,000010,MZ-FG-C900,1710,2,ST,440,USD,AGN
0020000824,000010,MZ-FG-C900,1710,30,ST,440,USD,AGN
0020000825,000010,MZ-FG-C900,1710,35,ST,440,USD,AGN
0020000826,000010,MZ-FG-C900,1710,53,ST,440,USD,AGN
0020000827,000010,MZ-FG-C950,1710,49,ST,675,USD,AGN
0020000828,000010,MZ-FG-C950,1710,39,ST,675,USD,AGN
0020000829,000010,MZ-FG-C950,1710,13,ST,675,USD,AGN
0020000830,000010,MZ-FG-C950,1710,22,ST,675,USD,AGN
0020000831,000010,MZ-FG-C950,1710,7,ST,675,USD,AGN
0020000832,000010,MZ-FG-C950,1710,11,ST,675,USD,AGN
0020000833,000010,MZ-FG-C990,1710,125,ST,1002,USD,AGN
