MANDT,VBELN,FKART,FKTYP,VBTYP,WAERK,VKORG,VTWEG,KALSM,KNUMV,VSBED,FKDAT,BELNR,GJAHR,POPER,KONDA,KDGRP,BZIRK,PLTYP,INCO1,INCO2,RFBSK,MRNKZ,KURRF,CPKUR,VALTG,VALDT,ZTERM,ZLSCH,KTGRD,LAND1,REGIO,COUNC,CITYC,BUKRS,TAXK1,TAXK2,TAXK3,TAXK4,TAXK5,TAXK6,TAXK7,TAXK8,TAXK9,NETWR,ZUKRI,ERNAM,ERZET,ERDAT,STAFO,KUNRG,KUNAG,MABER,STWAE,STCEG,AEDAT,SFAKN,KNUMA,FKART_RL,FKDAT_RL,KURST,MSCHL,MANSP,SPART,KKBER,KNKLI,CMWAE,CMKUF,HITYP_PR,BSTNK_VF,VBUND,FKART_AB,KAPPL,LANDTX,STCEG_H,STCEG_L,XBLNR,ZUONR,MWSBK,LOGSYS,FKSTO,XEGDR,RPLNR,J_1AFITP,KURRF_DAT,KIDNO,BVTYP,NUMPG,BUPLA,VKONT,FKK_DOCSTAT,NRZAS,SPE_BILLING_IND,VTREF,FK_SOURCE_SYS,FKTYP_CRM,STGRD,CHANGED_ON,EXPKZ,EXNUM,AKWAE,AKKUR,LCNUM,_DATAAGING,BUCHK,GBSTK,RELIK,UVALS,UVPRS,FKSAK,FKARA,VF_STATUS,VF_TODO,BDR_STATUS,BDR_REF,BDR_REF_LOGSYS,ABSTK,DRAFT,ACTIVEDOCUMENT,GRWCU,BLART,INTRA_REL,INTRA_EXCL,ACCRREL,J_1TPBUPL,INCOV,INCO2_L,INCO3_L,DUMMY_BILLINGDOC_INCL_EEW_PS,ZAPCGKH,APCGK_EXTENDH,ZABDATH,DPC_REL,AD01BASDOC,AD01FAREG,VCHRNMBR,J_3GKBAUL,J_3GKENIE,KUNWE,MNDID,PAY_TYPE,SEPON,MNDVG,SPPAYM,SPPORD,BDR_REF_VBTYP,PBD_STATUS,PSPSD,SDM_VERSION,GLO_LOG_REF1_HD,CLRST,APM_APPROVAL_STATUS,APM_APPROVAL_REASON,SRCEDOC_EXT_COMM_SYST_TYPE,ICO_LIFNR,CUSTH_UNIV_SALES_RELVNCE,CUSTH_BRANCH_UUID
100,0090001639,G2,A,O,USD,1710,10,Y17J01,0000007015,01,20191030,,0000,000,02,01,US0001,,EXW,Palo Alto,D,,1,,00,00000000,0004,,01,US,CA,,,1710,1,,,,,,,,,1755,0011000,S4H_SD,145120,20191030,,0017100001,0017100001,,USD,,00000000,,,LG,00000000,,,,00,1000,,USD,1,,,,,,US,A,US,0090001639,,70.2,S4HCLNT100,,,,,20191030,,,000,,,,,,,,,,0,,,,0,,00000000,,C,,,,,,A,,,,,,,,USD,,,,,,,Palo Alto,,,0000,0000000000,00000000,,,,00000000,,,,,,,,,,,,,03,,,,,,,,
100,0090001641,F2,L,M,USD,1710,10,Y17J01,0000007027,01,20191031,,0000,000,02,01,US0001,,EXW,Palo Alto,D,,1,,00,00000000,0004,,01,US,CA,,,1710,1,,,,,,,,,175.5,,S4H_SD,121826,20191031,,0017100001,0017100001,,USD,,20191031,,,LR,00000000,,,,00,1000,,USD,1,,,,,,US,A,US,0090001641,,7.02,S4HCLNT100,,,,,20191031,0090001641,,000,,,,,,,,,,20191031121843.396964,,,,0,,00000000,,C,,,,,,A,,,,,,,,USD,,,,,,,Palo Alto,,,0000,0000000000,00000000,,,,00000000,,,,,,,,,,,,,03,,,,,,,,
100,0090001619,F2,L,M,USD,1710,10,Y17J01,0000006959,01,20191025,,0000,000,,01,,,EXW,Palo Alto,D,,1,,00,00000000,0004,,01,US,LA,,,1710,1,,,,,,,,,210.6,,BPINST,071333,20191025,,0017100003,0017100003,,USD,,20191025,,,LR,00000000,,,,00,1000,,USD,1,,,,,,US,A,US,0090001619,,8.42,S4HCLNT100,,,,,20191025,0090001619,,000,,,,,,,,,,20191025071357.307823,,,,0,,00000000,,C,,,,,,A,,,,,,,,USD,,,,,,,Palo Alto,,,0000,0000000000,00000000,,,,00000000,,,,,,,,,,,,,03,,,,,,,,
100,0090000000,F2,L,M,USD,1710,10,Y17J01,0000000041,01,20171008,9400000000,2017,000,C1,Z2,US0006,,CFR,Cost & Freight,C,,1,,00,00000000,NT30,,01,US,OH,,,1710,0,,,,,,,,,9170,,BPINST,002652,20171009,,USCU_L10,USCU_L10,,USD,,00000000,,,LR,00000000,,,,00,A000,USCU_L10,USD,1,,,,,,US,A,US,0090000000,,0,S4HEWM100,,,,,20171008,0090000000,,000,,,,,,,,,,20171009002653.211909,,,,0,,00000000,C,C,,,,,,A,,,,,,,,USD,RV,,,,,,Cost & Freight,,,0000,0000000000,00000000,,,,00000000,,,,,,,,,,,,,03,,,,,,,,
100,0090000001,F2,L,M,USD,1710,10,Y17J01,0000000043,01,20171008,9400000001,2017,000,C1,Z1,US0003,,CFR,Cost & Freight,C,,1,,00,00000000,NT30,,01,US,NC,,,1710,0,,,,,,,,,9380,,BPINST,002706,20171009,,USCU_S07,USCU_S07,,USD,,00000000,,,LR,00000000,,,,00,A000,USCU_S07,USD,1,,,,,,US,A,US,0090000001,,0,S4HEWM100,,,,,20171008,0090000001,,000,,,,,,,,,,20171009002706.657054,,,,0,,00000000,C,C,,,,,,A,,,,,,,,USD,RV,,,,,,Cost & Freight,,,0000,0000000000,00000000,,,,00000000,,,,,,,,,,,,,03,,C,,,,,,
100,0090000002,F2,L,M,USD,1710,10,Y17J01,0000000045,01,20171008,9400000002,2017,000,C1,Z1,US0004,,CFR,Cost & Freight,C,,1,,00,00000000,NT30,,01,US,PA,,,1710,0,,,,,,,,,3990,,BPINST,002708,20171009,,USCU_S03,USCU_S03,,USD,,00000000,,,LR,00000000,,,,00,A000,USCU_S03,USD,1,,,,,,US,A,US,0090000002,,0,S4HEWM100,,,,,20171008,0090000002,,000,,,,,,,,,,20171009002708.729795,,,,0,,00000000,C,C,,,,,,A,,,,,,,,USD,RV,,,,,,Cost & Freight,,,0000,0000000000,00000000,,,,00000000,,,,,,,,,,,,,03,,,,,,,,
100,0090000003,F2,L,M,USD,1710,10,Y17J01,0000000047,01,20171008,9400000003,2017,000,C1,Z1,US0006,,CFR,Cost & Freight,C,,1,,00,00000000,NT30,,01,US,IA,,,1710,0,,,,,,,,,1470,,BPINST,002711,20171009,,USCU_S15,USCU_S15,,USD,,00000000,,,LR,00000000,,,,00,A000,USCU_S15,USD,1,,,,,,US,A,US,0090000003,,0,S4HEWM100,,,,,20171008,0090000003,,000,,,,,,,,,,20171009002711.43141,,,,0,,00000000,C,C,,,,,,A,,,,,,,,USD,RV,,,,,,Cost & Freight,,,0000,0000000000,00000000,,,,00000000,,,,,,,,,,,,,03,,,,,,,,
100,0090000004,F2,L,M,USD,1710,10,Y17J01,0000000049,01,20171008,9400000004,2017,000,C1,Z2,US0003,,CFR,Cost & Freight,C,,1,,00,00000000,NT30,,01,US,NC,,,1710,0,,,,,,,,,15890,,BPINST,002713,20171009,,USCU_L04,USCU_L04,,USD,,00000000,,,LR,00000000,,,,00,A000,USCU_L04,USD,1,,,,,,US,A,US,0090000004,,0,S4HEWM100,,,,,20171008,0090000004,,000,,,,,,,,,,20171009002713.576223,,,,0,,00000000,C,C,,,,,,A,,,,,,,,USD,RV,,,,,,Cost & Freight,,,0000,0000000000,00000000,,,,00000000,,,,,,,,,,,,,03,,C,,,,,,
100,0090000005,F2,L,M,USD,1710,10,Y17J01,0000000051,01,20171008,9400000005,2017,000,C1,Z2,US0004,,CFR,Cost & Freight,C,,1,,00,00000000,NT30,,01,US,DE,,,1710,0,,,,,,,,,13020,,BPINST,002716,20171009,,USCU_L02,USCU_L02,,USD,,00000000,,,LR,00000000,,,,00,A000,USCU_L02,USD,1,,,,,,US,A,US,0090000005,,0,S4HEWM100,,,,,20171008,0090000005,,000,,,,,,,,,,20171009002716.626909,,,,0,,00000000,C,C,,,,,,A,,,,,,,,USD,RV,,,,,,Cost & Freight,,,0000,0000000000,00000000,,,,00000000,,,,,,,,,,,,,03,,,,,,,,
100,0090001807,F2,L,M,USD,1710,10,Y17J01,0000007982,01,20200116,9400000024,2020,000,C1,Z1,US0004,,CFR,Cost & Freight,C,,1,,00,00000000,NT30,,01,US,PA,,,1710,0,,,,,,,,,203136,,BPINST,184232,20200116,,USCU_S01,USCU_S01,,USD,,20200116,,,LR,00000000,,,,00,A000,,USD,1,,,,,,US,A,US,0090001807,,0,S4HCLNT100,,,,,20200116,0090001807,,000,,,,,,,,,,20200116184603.460247,,,,0,,00000000,C,C,,,,,,A,,,,,,,,USD,,,,,,,Cost & Freight,,,0000,0000000000,00000000,,,,00000000,,,,,,,,,,,,,03,,C,,,,,,
100,0090003770,F2,L,M,USD,1710,10,Y17J01,0000015058,01,20210601,9400000308,2021,000,C1,Z1,US0006,,CFR,Cost & Freight,C,,1,,00,00000000,NT30,,01,US,MN,,,1710,0,,,,,,,,,2640,,BPINST,155641,20210601,,USCU_S17,USCU_S17,,USD,,00000000,,,LR,00000000,,,,00,A000,,USD,1,,,,,,US,A,US,0090003770,,0,S4HCLNT100,,,,,20210601,0090003770,,000,,,,,,,,,,20210601155641.750718,,,,0,,00000000,C,C,,,,,,A,,,,,,,,USD,RV,,,,,,Cost & Freight,,,0000,0000000000,00000000,,,,00000000,,,,,,,,,,,,,03,,A,,,,,,
100,0090000008,F2,L,M,USD,1710,10,Y17J01,0000000057,01,20171008,9400000008,2017,000,C1,Z1,US0006,,CFR,Cost & Freight,C,,1,,00,00000000,NT30,,01,US,MN,,,1710,0,,,,,,,,,2760,,BPINST,002722,20171009,,USCU_S17,USCU_S17,,USD,,00000000,,,LR,00000000,,,,00,A000,USCU_S17,USD,1,,,,,,US,A,US,0090000008,,0,S4HEWM100,,,,,20171008,0090000008,,000,,,,,,,,,,20171009002722.595034,,,,0,,00000000,C,C,,,,,,A,,,,,,,,USD,RV,,,,,,Cost & Freight,,,0000,0000000000,00000000,,,,00000000,,,,,,,,,,,,,03,,,,,,,,
100,0090000009,F2,L,M,USD,1710,10,Y17J01,0000000059,01,20171008,9400000009,2017,000,C1,Z2,US0004,,CFR,Cost & Freight,C,,1,,00,00000000,NT30,,01,US,MD,,,1710,0,,,,,,,,,21960,,BPINST,002724,20171009,,USCU_L03,USCU_L03,,USD,,00000000,,,LR,00000000,,,,00,A000,USCU_L03,USD,1,,,,,,US,A,US,0090000009,,0,S4HEWM100,,,,,20171008,0090000009,,000,,,,,,,,,,20171009002724.828823,,,,0,,00000000,C,C,,,,,,A,,,,,,,,USD,RV,,,,,,Cost & Freight,,,0000,0000000000,00000000,,,,00000000,,,,,,,,,,,,,03,,,,,,,,
100,0090001801,F2,L,M,USD,1710,10,Y17J01,0000007970,01,20200116,9400000018,2020,000,C1,Z2,US0003,,CFR,Cost & Freight,C,,1,,00,00000000,NT30,,01,US,SC,,,1710,0,,,,,,,,,26670,,BPINST,184222,20200116,,USCU_L05,USCU_L05,,USD,,20200116,,,LR,00000000,,,,00,A000,,USD,1,,,,,,US,A,US,0090001801,,0,S4HCLNT100,,,,,20200116,0090001801,,000,,,,,,,,,,20200116184600.546405,,,,0,,00000000,C,C,,,,,,A,,,,,,,,USD,,,,,,,Cost & Freight,,,0000,0000000000,00000000,,,,00000000,,,,,,,,,,,,,03,,C,,,,,,
100,0090003459,F2,L,M,USD,1710,10,Y17J01,0000014111,01,20210125,9400000004,2021,000,C1,Z1,US0003,,CFR,Cost & Freight,C,,1,,00,00000000,NT30,,01,US,NC,,,1710,0,,,,,,,,,9240,,BPINST,174650,20210125,,USCU_S07,USCU_S07,,USD,,00000000,,,LR,00000000,,,,00,A000,,USD,1,,,,,,US,A,US,0090003459,,0,S4HCLNT100,,,,,20210125,0090003459,,000,,,,,,,,,,20210125174650.724694,,,,0,,00000000,C,C,,,,,,A,,,,,,,,USD,RV,,,,,,Cost & Freight,,,0000,0000000000,00000000,,,,00000000,,,,,,,,,,,,,03,,C,,,,,,
100,0090003493,F2,L,M,USD,1710,10,Y17J01,0000014179,01,20210125,9400000038,2021,000,C1,Z1,US0004,,CFR,Cost & Freight,C,,1,,00,00000000,NT30,,01,US,PA,,,1710,0,,,,,,,,,2560,,BPINST,174759,20210125,,USCU_S01,USCU_S01,,USD,,00000000,,,LR,00000000,,,,00,A000,,USD,1,,,,,,US,A,US,0090003493,,0,S4HCLNT100,,,,,20210125,0090003493,,000,,,,,,,,,,20210125174759.527251,,,,0,,00000000,C,C,,,,,,A,,,,,,,,USD,RV,,,,,,Cost & Freight,,,0000,0000000000,00000000,,,,00000000,,,,,,,,,,,,,03,,C,,,,,,
100,0090000013,F2,L,M,USD,1710,10,Y17J01,0000000067,01,20171008,9400000013,2017,000,C1,Z1,US0003,,CFR,Cost & Freight,C,,1,,00,00000000,NT30,,01,US,TN,,,1710,0,,,,,,,,,800,,BPINST,002736,20171009,,USCU_S09,USCU_S09,,USD,,00000000,,,LR,00000000,,,,00,A000,USCU_S09,USD,1,,,,,,US,A,US,0090000013,,0,S4HEWM100,,,,,20171008,0090000013,,000,,,,,,,,,,20171009002736.450813,,,,0,,00000000,C,C,,,,,,A,,,,,,,,USD,RV,,,,,,Cost & Freight,,,0000,0000000000,00000000,,,,00000000,,,,,,,,,,,,,03,,,,,,,,
100,0090000014,F2,L,M,USD,1710,10,Y17J01,0000000069,01,20171008,9400000014,2017,000,C1,Z2,US0004,,CFR,Cost & Freight,C,,1,,00,00000000,NT60,,01,US,NY,,,1710,0,,,,,,,,,14720,,BPINST,002739,20171009,,USCU_L01,USCU_L01,,USD,,00000000,,,LR,00000000,,,,00,A000,USCU_L01,USD,1,,,,,,US,A,US,0090000014,,0,S4HEWM100,,,,,20171008,0090000014,,000,,,,,,,,,,20171009002739.36382,,,,0,,00000000,C,C,,,,,,A,,,,,,,,USD,RV,,,,,,Cost & Freight,,,0000,0000000000,00000000,,,,00000000,,,,,,,,,,,,,03,,,,,,,,
100,0090000015,F2,L,M,USD,1710,10,Y17J01,0000000071,01,20171008,9400000015,2017,000,C1,Z1,US0006,,CFR,Cost & Freight,C,,1,,00,00000000,NT30,,01,US,IA,,,1710,0,,,,,,,,,1440,,BPINST,002741,20171009,,USCU_S15,USCU_S15,,USD,,00000000,,,LR,00000000,,,,00,A000,USCU_S15,USD,1,,,,,,US,A,US,0090000015,,0,S4HEWM100,,,,,20171008,0090000015,,000,,,,,,,,,,20171009002741.663372,,,,0,,00000000,C,C,,,,,,A,,,,,,,,USD,RV,,,,,,Cost & Freight,,,0000,0000000000,00000000,,,,00000000,,,,,,,,,,,,,03,,,,,,,,
100,0090000016,F2,L,M,USD,1710,10,Y17J01,0000000073,01,20171008,9400000016,2017,000,C1,Z2,US0003,,CFR,Cost & Freight,C,,1,,00,00000000,NT30,,01,US,NC,,,1710,0,,,,,,,,,8480,,BPINST,002744,20171009,,USCU_L04,USCU_L04,,USD,,00000000,,,LR,00000000,,,,00,A000,USCU_L04,USD,1,,,,,,US,A,US,0090000016,,0,S4HEWM100,,,,,20171008,0090000016,,000,,,,,,,,,,20171009002744.390413,,,,0,,00000000,C,C,,,,,,A,,,,,,,,USD,RV,,,,,,Cost & Freight,,,0000,0000000000,00000000,,,,00000000,,,,,,,,,,,,,03,,C,,,,,,
